Super_region,Region,Country,NCD_region,SDI,World_bank,iso3,LocID
South Asia,South Asia,Afghanistan,South Asia,Low SDI,LIC,AFG,4
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Albania,Central and Eastern Europe,Middle SDI,UMIC,ALB,8
North Africa and Middle East,North Africa and Middle East,Algeria,"Central Asia, Middle East and North Africa",Middle SDI,UMIC,DZA,12
"Southeast Asia, East Asia, and Oceania",Oceania,American Samoa,NA,Middle SDI,UMIC,ASM,16
High-income,Western Europe,Andorra,NA,High SDI,HIC,AND,20
Sub-Saharan Africa,Central Sub-Saharan Africa,Angola,Sub-Saharan Africa,Low SDI,UMIC,AGO,24
Latin America and Caribbean,Caribbean,Antigua and Barbuda,NA,High-middle SDI,HIC,ATG,28
High-income,Southern Latin America,Argentina,Latin America and Caribbean,High-middle SDI,UMIC,ARG,32
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Armenia,"Central Asia, Middle East and North Africa",High-middle SDI,LMIC,ARM,51
High-income,Australasia,Australia,High-income Western countries,High SDI,HIC,AUS,36
High-income,Western Europe,Austria,High-income Western countries,High SDI,HIC,AUT,40
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Azerbaijan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,AZE,31
North Africa and Middle East,North Africa and Middle East,Bahrain,"Central Asia, Middle East and North Africa",Middle SDI,HIC,BHR,48
South Asia,South Asia,Bangladesh,South Asia,Low-middle SDI,LMIC,BGD,50
Latin America and Caribbean,Caribbean,Barbados,Latin America and Caribbean,High-middle SDI,HIC,BRB,52
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Belarus,Central and Eastern Europe,High-middle SDI,UMIC,BLR,112
High-income,Western Europe,Belgium,High-income Western countries,High SDI,HIC,BEL,56
Latin America and Caribbean,Caribbean,Belize,Latin America and Caribbean,Low-middle SDI,UMIC,BLZ,84
Sub-Saharan Africa,Western Sub-Saharan Africa,Benin,Sub-Saharan Africa,Low SDI,LIC,BEN,204
Latin America and Caribbean,Caribbean,Bermuda,NA,High-middle SDI,HIC,BMU,60
South Asia,South Asia,Bhutan,South Asia,Low-middle SDI,LMIC,BTN,64
Latin America and Caribbean,Andean Latin America,Bolivia,Latin America and Caribbean,Low-middle SDI,LMIC,BOL,68
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bosnia and Herzegovina,Central and Eastern Europe,Middle SDI,UMIC,BIH,70
Sub-Saharan Africa,Southern Sub-Saharan Africa,Botswana,Sub-Saharan Africa,Middle SDI,UMIC,BWA,72
Latin America and Caribbean,Tropical Latin America,Brazil,Latin America and Caribbean,Middle SDI,UMIC,BRA,76
High-income,High-income Asia Pacific,Brunei,East and South East Asia,High SDI,HIC,BRN,96
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bulgaria,Central and Eastern Europe,High-middle SDI,UMIC,BGR,100
Sub-Saharan Africa,Western Sub-Saharan Africa,Burkina Faso,Sub-Saharan Africa,Low SDI,LIC,BFA,854
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Burundi,Sub-Saharan Africa,Low SDI,LIC,BDI,108
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Cambodia,East and South East Asia,Low-middle SDI,LMIC,KHM,132
Sub-Saharan Africa,Western Sub-Saharan Africa,Cameroon,Sub-Saharan Africa,Low-middle SDI,LMIC,CMR,116
High-income,High-income North America,Canada,High-income Western countries,High SDI,HIC,CAN,120
Sub-Saharan Africa,Western Sub-Saharan Africa,Cape Verde,Sub-Saharan Africa,Low-middle SDI,LMIC,CPV,124
Sub-Saharan Africa,Central Sub-Saharan Africa,Central African Republic,Sub-Saharan Africa,Low SDI,LIC,CAF,140
Sub-Saharan Africa,Western Sub-Saharan Africa,Chad,Sub-Saharan Africa,Low SDI,LIC,TCD,148
High-income,Southern Latin America,Chile,Latin America and Caribbean,High-middle SDI,HIC,CHL,152
"Southeast Asia, East Asia, and Oceania",East Asia,China,East and South East Asia,Middle SDI,UMIC,CHN,156
Latin America and Caribbean,Central Latin America,Colombia,Latin America and Caribbean,Middle SDI,UMIC,COL,170
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Comoros,Sub-Saharan Africa,Low SDI,LIC,COM,174
Sub-Saharan Africa,Central Sub-Saharan Africa,Congo,Sub-Saharan Africa,Low-middle SDI,LMIC,COG,178
Latin America and Caribbean,Central Latin America,Costa Rica,Latin America and Caribbean,Middle SDI,UMIC,CRI,188
Sub-Saharan Africa,Western Sub-Saharan Africa,Cote d'Ivoire,Sub-Saharan Africa,Low SDI,LMIC,CIV,384
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Croatia,Central and Eastern Europe,High SDI,HIC,HRV,191
Latin America and Caribbean,Caribbean,Cuba,Latin America and Caribbean,High-middle SDI,UMIC,CUB,192
High-income,Western Europe,Cyprus,High-income Western countries,High SDI,HIC,CYP,196
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Czech Republic,Central and Eastern Europe,High SDI,HIC,CZE,203
Sub-Saharan Africa,Central Sub-Saharan Africa,Democratic Republic of the Congo,Sub-Saharan Africa,Low SDI,LIC,COD,180
High-income,Western Europe,Denmark,High-income Western countries,High SDI,HIC,DNK,208
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Djibouti,Sub-Saharan Africa,Low SDI,LMIC,DJI,262
Latin America and Caribbean,Caribbean,Dominica,NA,Middle SDI,UMIC,DMA,212
Latin America and Caribbean,Caribbean,Dominican Republic,Latin America and Caribbean,Middle SDI,UMIC,DOM,214
Latin America and Caribbean,Andean Latin America,Ecuador,Latin America and Caribbean,Middle SDI,UMIC,ECU,218
North Africa and Middle East,North Africa and Middle East,Egypt,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,EGY,818
Latin America and Caribbean,Central Latin America,El Salvador,Latin America and Caribbean,Middle SDI,LMIC,SLV,222
Sub-Saharan Africa,Central Sub-Saharan Africa,Equatorial Guinea,Sub-Saharan Africa,Middle SDI,UMIC,GNQ,226
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Eritrea,Sub-Saharan Africa,Low SDI,LIC,ERI,232
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Estonia,Central and Eastern Europe,High SDI,HIC,EST,233
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Ethiopia,Sub-Saharan Africa,Low SDI,LIC,ETH,231
"Southeast Asia, East Asia, and Oceania",Oceania,Federated States of Micronesia,NA,Low-middle SDI,LMIC,FSM,583
"Southeast Asia, East Asia, and Oceania",Oceania,Fiji,Oceania,Middle SDI,UMIC,FJI,242
High-income,Western Europe,Finland,High-income Western countries,High SDI,HIC,FIN,246
High-income,Western Europe,France,High-income Western countries,High SDI,HIC,FRA,250
Sub-Saharan Africa,Central Sub-Saharan Africa,Gabon,Sub-Saharan Africa,Low-middle SDI,UMIC,GAB,266
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Georgia,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,GEO,268
High-income,Western Europe,Germany,High-income Western countries,High SDI,HIC,DEU,276
Sub-Saharan Africa,Western Sub-Saharan Africa,Ghana,Sub-Saharan Africa,Low-middle SDI,LMIC,GHA,288
High-income,Western Europe,Greece,High-income Western countries,High SDI,HIC,GRC,300
High-income,High-income North America,Greenland,NA,High-middle SDI,HIC,GRL,304
Latin America and Caribbean,Caribbean,Grenada,NA,Middle SDI,UMIC,GRD,308
"Southeast Asia, East Asia, and Oceania",Oceania,Guam,NA,High-middle SDI,HIC,GUM,316
Latin America and Caribbean,Central Latin America,Guatemala,Latin America and Caribbean,Low-middle SDI,LMIC,GTM,320
Sub-Saharan Africa,Western Sub-Saharan Africa,Guinea,Sub-Saharan Africa,Low SDI,LIC,GIN,324
Sub-Saharan Africa,Western Sub-Saharan Africa,Guinea-Bissau,Sub-Saharan Africa,Low SDI,LIC,GNB,624
Latin America and Caribbean,Caribbean,Guyana,Latin America and Caribbean,Middle SDI,UMIC,GUY,328
Latin America and Caribbean,Caribbean,Haiti,Latin America and Caribbean,Low SDI,LIC,HTI,332
Latin America and Caribbean,Central Latin America,Honduras,Latin America and Caribbean,Low-middle SDI,LMIC,HND,340
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Hungary,Central and Eastern Europe,High-middle SDI,HIC,HUN,348
High-income,Western Europe,Iceland,High-income Western countries,High SDI,HIC,ISL,352
South Asia,South Asia,India,South Asia,Low-middle SDI,LMIC,IND,356
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Indonesia,East and South East Asia,Middle SDI,LMIC,IDN,360
North Africa and Middle East,North Africa and Middle East,Iran,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,IRN,364
North Africa and Middle East,North Africa and Middle East,Iraq,"Central Asia, Middle East and North Africa",Low-middle SDI,UMIC,IRQ,368
High-income,Western Europe,Ireland,High-income Western countries,High SDI,HIC,IRL,372
High-income,Western Europe,Israel,High-income Western countries,High-middle SDI,HIC,ISR,376
High-income,Western Europe,Italy,High-income Western countries,High SDI,HIC,ITA,380
Latin America and Caribbean,Caribbean,Jamaica,Latin America and Caribbean,Middle SDI,UMIC,JAM,388
High-income,High-income Asia Pacific,Japan,High-income Asia Pacific,High SDI,HIC,JPN,392
North Africa and Middle East,North Africa and Middle East,Jordan,"Central Asia, Middle East and North Africa",Middle SDI,UMIC,JOR,400
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kazakhstan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,KAZ,398
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Kenya,Sub-Saharan Africa,Low-middle SDI,LMIC,KEN,404
"Southeast Asia, East Asia, and Oceania",Oceania,Kiribati,NA,Low SDI,LMIC,KIR,296
North Africa and Middle East,North Africa and Middle East,Kuwait,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,KWT,414
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kyrgyzstan,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,KGZ,417
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Laos,East and South East Asia,Low-middle SDI,LMIC,LAO,418
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Latvia,Central and Eastern Europe,High SDI,HIC,LVA,428
North Africa and Middle East,North Africa and Middle East,Lebanon,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,LBN,422
Sub-Saharan Africa,Southern Sub-Saharan Africa,Lesotho,Sub-Saharan Africa,Low-middle SDI,LMIC,LSO,426
Sub-Saharan Africa,Western Sub-Saharan Africa,Liberia,Sub-Saharan Africa,Low SDI,LIC,LBR,430
North Africa and Middle East,North Africa and Middle East,Libya,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,LBY,434
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Lithuania,Central and Eastern Europe,High SDI,HIC,LTU,440
High-income,Western Europe,Luxembourg,High-income Western countries,High SDI,HIC,LUX,442
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Macedonia,Central and Eastern Europe,High-middle SDI,LMIC,MKD,807
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Madagascar,Sub-Saharan Africa,Low SDI,LIC,MDG,450
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Malawi,Sub-Saharan Africa,Low SDI,LIC,MWI,454
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Malaysia,East and South East Asia,High-middle SDI,UMIC,MYS,458
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Maldives,East and South East Asia,Middle SDI,UMIC,MDV,462
Sub-Saharan Africa,Western Sub-Saharan Africa,Mali,Sub-Saharan Africa,Low SDI,LIC,MLI,466
High-income,Western Europe,Malta,High-income Western countries,High SDI,HIC,MLT,470
"Southeast Asia, East Asia, and Oceania",Oceania,Marshall Islands,NA,Low-middle SDI,UMIC,MHL,584
Sub-Saharan Africa,Western Sub-Saharan Africa,Mauritania,Sub-Saharan Africa,Low-middle SDI,LMIC,MRT,478
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Mauritius,Sub-Saharan Africa,High-middle SDI,UMIC,MUS,480
Latin America and Caribbean,Central Latin America,Mexico,Latin America and Caribbean,Middle SDI,UMIC,MEX,484
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Moldova,Central and Eastern Europe,Middle SDI,HIC,MDA,498
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Mongolia,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,MNG,496
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Montenegro,Central and Eastern Europe,High-middle SDI,UMIC,MNE,499
North Africa and Middle East,North Africa and Middle East,Morocco,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,MAR,504
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Mozambique,Sub-Saharan Africa,Low SDI,LIC,MOZ,508
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Myanmar,East and South East Asia,Low-middle SDI,LMIC,MMR,104
Sub-Saharan Africa,Southern Sub-Saharan Africa,Namibia,Sub-Saharan Africa,Low-middle SDI,UMIC,NAM,516
South Asia,South Asia,Nepal,South Asia,Low-middle SDI,LIC,NPL,524
High-income,Western Europe,Netherlands,High-income Western countries,High SDI,HIC,NLD,528
High-income,Australasia,New Zealand,High-income Western countries,High SDI,HIC,NZL,554
Latin America and Caribbean,Central Latin America,Nicaragua,Latin America and Caribbean,Low-middle SDI,LMIC,NIC,558
Sub-Saharan Africa,Western Sub-Saharan Africa,Niger,Sub-Saharan Africa,Low SDI,LIC,NER,562
Sub-Saharan Africa,Western Sub-Saharan Africa,Nigeria,Sub-Saharan Africa,Low-middle SDI,LMIC,NGA,566
"Southeast Asia, East Asia, and Oceania",East Asia,North Korea,East and South East Asia,Low-middle SDI,LIC,PRK,408
"Southeast Asia, East Asia, and Oceania",Oceania,Northern Mariana Islands,NA,High-middle SDI,HIC,MNP,580
High-income,Western Europe,Norway,High-income Western countries,High SDI,HIC,NOR,578
North Africa and Middle East,North Africa and Middle East,Oman,"Central Asia, Middle East and North Africa",Middle SDI,HIC,OMN,512
South Asia,South Asia,Pakistan,South Asia,Low-middle SDI,LMIC,PAK,586
North Africa and Middle East,North Africa and Middle East,Palestine,"Central Asia, Middle East and North Africa",Low SDI,LMIC,PSE,NA
Latin America and Caribbean,Central Latin America,Panama,Latin America and Caribbean,High-middle SDI,UMIC,PAN,591
"Southeast Asia, East Asia, and Oceania",Oceania,Papua New Guinea,Oceania,Low SDI,LMIC,PNG,598
Latin America and Caribbean,Tropical Latin America,Paraguay,Latin America and Caribbean,Middle SDI,UMIC,PRY,600
Latin America and Caribbean,Andean Latin America,Peru,Latin America and Caribbean,Middle SDI,UMIC,PER,604
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Philippines,East and South East Asia,Middle SDI,LMIC,PHL,608
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Poland,Central and Eastern Europe,High SDI,HIC,POL,616
High-income,Western Europe,Portugal,High-income Western countries,High-middle SDI,HIC,PRT,620
Latin America and Caribbean,Caribbean,Puerto Rico,Latin America and Caribbean,High SDI,HIC,PRI,630
North Africa and Middle East,North Africa and Middle East,Qatar,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,QAT,634
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Romania,Central and Eastern Europe,High-middle SDI,UMIC,ROU,642
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Russian Federation,Central and Eastern Europe,High-middle SDI,UMIC,RUS,643
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Rwanda,Sub-Saharan Africa,Low SDI,LIC,RWA,646
Latin America and Caribbean,Caribbean,Saint Lucia,NA,Middle SDI,UMIC,LCA,662
Latin America and Caribbean,Caribbean,Saint Vincent and the Grenadines,NA,Middle SDI,UMIC,VCT,670
"Southeast Asia, East Asia, and Oceania",Oceania,Samoa,NA,Low-middle SDI,LMIC,WSM,882
Sub-Saharan Africa,Western Sub-Saharan Africa,Sao Tome and Principe,NA,Low SDI,LMIC,STP,678
North Africa and Middle East,North Africa and Middle East,Saudi Arabia,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,SAU,682
Sub-Saharan Africa,Western Sub-Saharan Africa,Senegal,Sub-Saharan Africa,Low SDI,LIC,SEN,686
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Serbia,Central and Eastern Europe,High-middle SDI,UMIC,SRB,688
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Seychelles,NA,Middle SDI,HIC,SYC,690
Sub-Saharan Africa,Western Sub-Saharan Africa,Sierra Leone,Sub-Saharan Africa,Low SDI,LIC,SLE,694
High-income,High-income Asia Pacific,Singapore,High-income Asia Pacific,High SDI,HIC,SGP,702
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovakia,Central and Eastern Europe,High SDI,HIC,SVK,703
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovenia,Central and Eastern Europe,High SDI,HIC,SVN,705
"Southeast Asia, East Asia, and Oceania",Oceania,Solomon Islands,Oceania,Low SDI,LMIC,SLB,90
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Somalia,Sub-Saharan Africa,Low SDI,LIC,SOM,706
Sub-Saharan Africa,Southern Sub-Saharan Africa,South Africa,Sub-Saharan Africa,Middle SDI,UMIC,ZAF,710
High-income,High-income Asia Pacific,South Korea,High-income Asia Pacific,High SDI,HIC,KOR,410
Sub-Saharan Africa,Eastern Sub-Saharan Africa,South Sudan,Sub-Saharan Africa,Low SDI,LIC,SSD,728
High-income,Western Europe,Spain,High-income Western countries,High-middle SDI,HIC,ESP,724
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Sri Lanka,East and South East Asia,Middle SDI,LMIC,LKA,144
North Africa and Middle East,North Africa and Middle East,Sudan,Sub-Saharan Africa,Low-middle SDI,LMIC,SDN,729
Latin America and Caribbean,Caribbean,Suriname,Latin America and Caribbean,Middle SDI,UMIC,SUR,740
Sub-Saharan Africa,Southern Sub-Saharan Africa,Swaziland,Sub-Saharan Africa,Low-middle SDI,LMIC,SWZ,748
High-income,Western Europe,Sweden,High-income Western countries,High SDI,HIC,SWE,752
High-income,Western Europe,Switzerland,High-income Western countries,High SDI,HIC,CHE,756
North Africa and Middle East,North Africa and Middle East,Syria,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,SYR,760
"Southeast Asia, East Asia, and Oceania",East Asia,Taiwan,East and South East Asia,High SDI,HIC,TWN,158
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Tajikistan,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,TJK,762
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Tanzania,Sub-Saharan Africa,Low SDI,LIC,TZA,834
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Thailand,East and South East Asia,Middle SDI,UMIC,THA,764
Latin America and Caribbean,Caribbean,The Bahamas,Latin America and Caribbean,High-middle SDI,HIC,BHS,44
Sub-Saharan Africa,Western Sub-Saharan Africa,The Gambia,Sub-Saharan Africa,Low SDI,LIC,GMB,270
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Timor-Leste,East and South East Asia,Low-middle SDI,LMIC,TLS,626
Sub-Saharan Africa,Western Sub-Saharan Africa,Togo,Sub-Saharan Africa,Low SDI,LIC,TGO,768
"Southeast Asia, East Asia, and Oceania",Oceania,Tonga,NA,Low-middle SDI,LMIC,TON,776
Latin America and Caribbean,Caribbean,Trinidad and Tobago,Latin America and Caribbean,High-middle SDI,HIC,TTO,780
North Africa and Middle East,North Africa and Middle East,Tunisia,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,TUN,788
North Africa and Middle East,North Africa and Middle East,Turkey,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,TUR,792
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Turkmenistan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,TKM,795
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Uganda,Sub-Saharan Africa,Low SDI,LIC,UGA,800
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Ukraine,Central and Eastern Europe,High-middle SDI,LMIC,UKR,804
North Africa and Middle East,North Africa and Middle East,United Arab Emirates,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,ARE,784
High-income,Western Europe,United Kingdom,High-income Western countries,High SDI,HIC,GBR,826
High-income,High-income North America,United States,High-income Western countries,High SDI,HIC,USA,840
High-income,Southern Latin America,Uruguay,Latin America and Caribbean,Middle SDI,HIC,URY,858
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Uzbekistan,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,UZB,860
"Southeast Asia, East Asia, and Oceania",Oceania,Vanuatu,Oceania,Low-middle SDI,LMIC,VUT,548
Latin America and Caribbean,Central Latin America,Venezuela,Latin America and Caribbean,Middle SDI,UMIC,VEN,862
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Vietnam,East and South East Asia,Middle SDI,LMIC,VNM,704
Latin America and Caribbean,Caribbean,"Virgin Islands, U.S.",NA,High SDI,HIC,VIR,850
North Africa and Middle East,North Africa and Middle East,Yemen,"Central Asia, Middle East and North Africa",Low SDI,LMIC,YEM,887
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Zambia,Sub-Saharan Africa,Low-middle SDI,LMIC,ZMB,894
Sub-Saharan Africa,Southern Sub-Saharan Africa,Zimbabwe,Sub-Saharan Africa,Low-middle SDI,LIC,ZWE,716
,,,,,,,
