"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"1","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Adjusted",24651496.5704209,27999236.4330279,31585748.3762695,35474754.897983,39643714.8037331,44100347.8162124,48849701.4942155,53896106.2979659,306201106.689828
"2","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Baseline",22354888.7358437,23240374.2122152,24164395.1111001,25144036.0840412,26166557.2335354,27228977.4222149,28326889.3979779,29456621.3750601,206082739.571989
"3","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Adjusted",50593.9486636384,50707.0790030181,50836.8853988099,50983.6381018665,51134.545666267,51290.1652337273,51447.1482218781,51603.1985996379,408596.608888843
"4","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Baseline",38941.5173108894,38853.9335526535,38774.1365895657,38700.4347740742,38625.8569438342,38550.148690993,38470.6091145186,38385.7143592194,309302.351335749
"5","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Adjusted",286356215.465319,310124288.819309,335257083.514042,362600377.483648,390795683.69355,420070693.270205,450809695.719043,483276437.755678,3039290475.72079
"6","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Baseline",273131558.273503,282679598.082641,292314669.586721,302626727.161603,312707154.25724,322767577.813183,333105546.116983,343889861.192188,2463222692.48406
"7","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Adjusted",60333301.9840956,66258103.9138241,72600196.8607651,79879304.6332074,87585717.3233858,95720804.4843364,104272953.354078,113235320.370806,679885702.924499
"8","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Baseline",56684285.3714954,58728857.4104206,60810710.5631508,63331231.5248959,65899923.1723807,68513092.5836519,71161210.7715015,73843123.6481917,518972435.045688
"9","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Adjusted",4167011769.43819,4448035309.50339,4738908929.85838,5043735278.44312,5355675502.95406,5675638460.04453,6004632547.80082,6343627774.09549,41777265572.1379
"10","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Baseline",3953957322.21627,4015090364.00235,4077332255.23607,4143104191.27763,4207443837.3617,4271229577.92423,4335301108.22175,4400359211.60355,33403817867.8436
"11","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Adjusted",11718513.8330869,12741757.7988466,13787214.1952387,14989561.9288457,16212406.4942029,17472470.7191857,18780217.9465777,20135688.5868749,125837831.502859
"12","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Baseline",10802201.6044636,10892465.1035705,10971747.9885267,11135389.8177216,11285614.5133673,11437113.7630245,11597016.7178587,11764442.7502773,89885992.2588102
"13","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Adjusted",53399971.5471311,57459982.8187248,61799178.0066061,66813061.3183326,72031242.9142566,77483946.1486361,83186321.7304537,89143100.4295087,561316804.913649
"14","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Baseline",50870798.8196175,52242514.1659481,53655500.6895885,55399325.2455317,57126384.23794,58865560.9889261,60631197.2503699,62429818.6170611,451221100.014983
"15","Bangladesh","LMIC","South Asia","BGD","South Asia","LMIC","Adjusted",1442094124.17855,1580653908.0502,1727022246.8067,1883880370.92438,2048524024.2308,2221314346.57186,2402669182.99724,2593081204.99622,15899239408.7559
"16","Bangladesh","LMIC","South Asia","BGD","South Asia","LMIC","Baseline",1348132423.85094,1386952047.88161,1426854414.94638,1469270090.57345,1512335707.7609,1556154968.22806,1600850728.54326,1646567866.45673,11947118248.2413
