"","NCD_region","byear","no","yes","MinInts","MedInt"
"1","Latin America and Caribbean",2010,6,16,1,6.5
"2","Latin America and Caribbean",2015,9,13,1,7.5
"3","Central and Eastern Europe",2010,1,9,1,4.5
"4","Central and Eastern Europe",2015,5,5,1,11.5
"5","Central Asia, Middle East and North Africa",2010,0,21,1,2
"6","Central Asia, Middle East and North Africa",2015,1,20,1,5
"7","Sub-Saharan Africa",2010,6,41,1,6
"8","Sub-Saharan Africa",2015,11,36,1,8
"9","South Asia",2010,1,5,5,6
"10","South Asia",2015,1,5,5,7
"11","East and South East Asia",2010,2,11,1,5
"12","East and South East Asia",2015,5,8,1,7
"13","Oceania",2010,1,3,1,6
"14","Oceania",2015,0,4,3,6
"15","All low- and middle-income countries",2010,17,106,1,5
"16","All low- and middle-income countries",2015,32,91,1,7
