"","NCD_region","byear","no","yes","MinInts","MedInt"
"1","Latin America and Caribbean",2010,6,16,1,5
"2","Latin America and Caribbean",2015,7,15,1,12
"3","Central and Eastern Europe",2010,0,10,1,12.5
"4","Central and Eastern Europe",2015,1,9,1,14.5
"5","Central Asia, Middle East and North Africa",2010,0,21,1,6
"6","Central Asia, Middle East and North Africa",2015,1,20,1,12
"7","Sub-Saharan Africa",2010,7,40,1,11
"8","Sub-Saharan Africa",2015,10,37,1,13
"9","South Asia",2010,1,5,1,8
"10","South Asia",2015,1,5,4,12
"11","East and South East Asia",2010,0,13,1,2
"12","East and South East Asia",2015,2,11,1,8
"13","Oceania",2010,1,3,1,7.5
"14","Oceania",2015,0,4,1,8
"15","All low- and middle-income countries",2010,15,108,1,7
"16","All low- and middle-income countries",2015,22,101,1,13
