"","NCD_region","byear","no","yes","MinInts","MedInt"
"1","Latin America and Caribbean",2010,6,16,1,5
"2","Latin America and Caribbean",2015,6,16,1,12
"3","Central and Eastern Europe",2010,0,10,1,10
"4","Central and Eastern Europe",2015,1,9,1,14
"5","Central Asia, Middle East and North Africa",2010,0,21,1,5
"6","Central Asia, Middle East and North Africa",2015,1,20,1,12
"7","Sub-Saharan Africa",2010,4,43,1,9
"8","Sub-Saharan Africa",2015,6,41,1,12
"9","South Asia",2010,1,5,1,8
"10","South Asia",2015,1,5,4,11.5
"11","East and South East Asia",2010,0,13,1,2
"12","East and South East Asia",2015,0,13,1,8
"13","Oceania",2010,0,4,1,5
"14","Oceania",2015,0,4,1,4
"15","All low- and middle-income countries",2010,11,112,1,7
"16","All low- and middle-income countries",2015,15,108,1,12
