"","Code","volume_per1e5pop","Intervention"
"1",1.2,4935.16884771841,"Pulmonary rehabilitation"
"2",2.14,111750.145140606,"Asthma/COPD chronic treatment"
"3",2.3,297680.352311458,"Diabetes screening/treatment"
"4",2.4,1488252.445674,"CVD primary prevention"
"5",2.5,4631.11896757168,"Aspirin for suspected ACS"
"6",2.6,177763.931317049,"CVD secondary prevention"
"7",2.7,32274.1510653592,"Heart failure chronic treatment"
"8",3.1,8038.9531841307,"Medical management of ACS"
"9",3.2,6061.90707597954,"Heart failure acute treatment"
"10",3.3,75435.5630928578,"Treatment of early-stage cervical cancer"
"11",3.4,10955.9369440577,"Asthma acute treatment"
"12",3.5,4141.29889759372,"COPD acute treatment"
"13",4.1,1347.66863384223,"PCI for ACS"
"14",4.2,824.81503731858,"Management of acute ventilatory failure"
"15",4.3,71.062392531674,"Treatment of early-stage breast cancer"
"16",4.4,63.065679011822,"Treatment of early-stage colorectal cancer"
