"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"1","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Adjusted",46439490.8053018,52407860.3483406,58835007.2530267,65674848.7447326,73010693.2254171,80884752.5414165,89342612.2451307,98430999.7257673,565026264.889134
"2","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Baseline",34606218.55323,35957599.3343108,37384313.4608774,38836758.6246761,40357153.954954,41953328.4992616,43632871.358581,45402487.6003608,318130731.386252
"3","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Adjusted",5245.01289599465,5481.74899874802,5736.88380798958,5987.29782527379,6255.93760884906,6542.30227596743,6842.61836771774,7154.01491535988,49245.8166959002
"4","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Baseline",4702.42535502969,4728.28030940148,4767.45110098994,4800.3566597601,4845.58609345055,4901.58923121999,4964.47385373192,5031.37683117867,38741.5394347623
"5","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Adjusted",127856834.872662,136130222.898389,144536765.910657,153021060.933998,161510477.918405,170101552.529915,178952852.303293,188162576.907642,1260272344.27496
"6","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Baseline",113959894.273245,116919427.637648,119771078.406375,122481429.655246,125006315.954914,127433826.033137,129885738.684969,132426010.278824,987883720.92436
"7","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Adjusted",71705054.1211084,77280961.1003116,83222988.8176459,89617356.5773851,96405329.8314068,103607976.417107,111240414.593648,119331520.004092,752411601.462705
"8","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Baseline",64048049.7413754,66368934.4418318,68820616.6056415,71447377.4602615,74190978.1661233,77058248.056594,80051787.3166229,83183516.9231677,585169508.711618
"9","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Adjusted",5724693815.40357,5993106021.08851,6274744526.31344,6548060051.86018,6832126482.39402,7128436874.68164,7438223199.96248,7762045167.6115,53701436139.3154
"10","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Baseline",5215696375.45154,5300459639.82306,5390195667.73228,5466531055.60486,5546107654.34182,5629873932.44932,5718455528.66177,5811895324.08966,44079215178.1543
"11","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Adjusted",41487026.5462373,43703037.1692849,46076578.6554006,48545865.3479963,51185085.1577455,53999972.5560225,56980883.3208032,60127894.8774395,402106343.630929
"12","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Baseline",36638333.1990447,37010148.9386192,37451282.5234017,37903400.6678896,38425149.4695062,39013472.0705222,39653661.2423853,40334670.075406,306430118.186774
"13","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Adjusted",61776639.606782,65730564.2500719,70003097.7543765,74492053.1579714,79233074.181963,84250438.6420374,89566515.8543571,95225422.5866818,620277806.034241
"14","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Baseline",55784219.295465,57247447.2903619,58855255.3076722,60501252.2763732,62213895.9993164,64005209.0991833,65882572.8311205,67861733.2273553,492351585.326848
"15","Bangladesh","LMIC","South Asia","BGD","South Asia","LMIC","Adjusted",1544733749.3872,1671150968.05602,1804918989.38401,1944269625.43739,2090987322.12606,2245616967.76624,2408744987.8399,2580931602.66858,16291354212.6654
"16","Bangladesh","LMIC","South Asia","BGD","South Asia","LMIC","Baseline",1318119917.56861,1357594971.72743,1398747659.39219,1439976414.73931,1482506912.38866,1526505585.41841,1572128202.91566,1619474535.45343,11715054199.6037
"17","Belarus","UMIC","Central and Eastern Europe","BLR","Central and Eastern Europe","UMIC","Adjusted",25038.6841216111,26039.9578410419,27136.6200070706,28202.9820820171,29364.1022270785,30590.035967761,31827.6447025679,33047.4237743693,231247.450723517
"18","Belarus","UMIC","Central and Eastern Europe","BLR","Central and Eastern Europe","UMIC","Baseline",22615.5856582294,22769.1337417559,22992.7811911647,23176.9842592879,23425.3427847895,23709.4262559766,23986.3538050838,24234.9675857247,186910.575282012
"19","Belize","UMIC","Latin America and Caribbean","BLZ","Latin America and Caribbean","UMIC","Adjusted",154850.2363404,168347.491039423,183085.284808269,198234.821705793,214577.618644786,232201.947168952,251416.665385808,272287.899281045,1675001.96437448
"20","Belize","UMIC","Latin America and Caribbean","BLZ","Latin America and Caribbean","UMIC","Baseline",138831.246374151,144925.681470453,151595.126864205,158117.838019063,165117.83618465,172617.73214082,180780.45095076,189590.226784782,1301576.13878888
"21","Benin","LIC","Sub-Saharan Africa","BEN","Sub-Saharan Africa","LIC","Adjusted",34283896.5274736,38136046.5359962,42246639.1457781,46526896.8601305,51071989.9505797,55901361.5031557,61036972.9865345,66505050.0859211,395708853.595569
"22","Benin","LIC","Sub-Saharan Africa","BEN","Sub-Saharan Africa","LIC","Baseline",26784174.0866314,27680025.4918933,28626442.8562855,29551375.3539804,30520036.7168572,31536868.6435296,32606542.5489525,33734239.7430361,241039705.441166
"23","Bhutan","LMIC","South Asia","BTN","South Asia","LMIC","Adjusted",14116231.8990184,15209140.6775462,16357438.974226,17551698.3306329,18799415.0611589,20105926.0998336,21484574.4576528,22944497.1295089,146568922.629578
"24","Bhutan","LMIC","South Asia","BTN","South Asia","LMIC","Baseline",12359186.0926492,12754234.3474838,13158855.690841,13564188.4942246,13975599.017613,14396046.2379708,14833576.3874452,15292167.2660387,110333853.534266
"25","Bolivia","LMIC","Latin America and Caribbean","BOL","Latin America and Caribbean","LMIC","Adjusted",29294071.4592695,31567754.6685187,33991603.677625,36427578.2865384,39007122.2723742,41741069.4093107,44637630.9362264,47705222.5605795,304372053.270442
"26","Bolivia","LMIC","Latin America and Caribbean","BOL","Latin America and Caribbean","LMIC","Baseline",25590264.8686643,26347845.799034,27149972.5556167,27888487.7659804,28664818.5962148,29480847.8191097,30336270.6372026,31230640.7918154,226689148.833638
"27","Bosnia and Herzegovina","UMIC","Central and Eastern Europe","BIH","Central and Eastern Europe","UMIC","Adjusted",289991958.680181,304081989.199812,318719489.114033,332624790.936606,346961606.801033,361688982.529149,376757552.254652,392193027.578945,2723019397.09441
"28","Bosnia and Herzegovina","UMIC","Central and Eastern Europe","BIH","Central and Eastern Europe","UMIC","Baseline",261456422.038838,264243798.529377,267179676.517723,269199283.828119,271315318.191763,273489623.205778,275679861.048465,277892416.816378,2160456400.17644
"29","Botswana","UMIC","Sub-Saharan Africa","BWA","Sub-Saharan Africa","UMIC","Adjusted",4587.97458906841,4940.92814268144,5310.98044732685,5685.57478586514,6073.94868402218,6478.36224854441,6902.58818120813,7349.46406172003,47329.8211404366
"30","Botswana","UMIC","Sub-Saharan Africa","BWA","Sub-Saharan Africa","UMIC","Baseline",4157.85197134325,4334.26398781467,4514.74422776444,4688.57901968413,4863.77925975371,5042.0037874281,5225.87252121965,5417.01950961876,38244.1142846267
"31","Brazil","UMIC","Latin America and Caribbean","BRA","Latin America and Caribbean","UMIC","Adjusted",807507.262119722,853816.982582974,901017.84042006,947960.044085563,995482.816293869,1043710.65548831,1092878.43176968,1143099.30930863,7785473.34206881
"32","Brazil","UMIC","Latin America and Caribbean","BRA","Latin America and Caribbean","UMIC","Baseline",734097.511017929,751751.099686236,769104.919027482,785236.574328534,800924.794994942,816301.694684685,831569.96970141,846819.558532799,6335806.12197402
"33","Bulgaria","UMIC","Central and Eastern Europe","BGR","Central and Eastern Europe","UMIC","Adjusted",863529888.603618,890223433.543553,918793031.1748,943671107.285675,969504106.727204,996834472.304308,1026017938.93713,1056948590.96618,7665522569.54247
"34","Bulgaria","UMIC","Central and Eastern Europe","BGR","Central and Eastern Europe","UMIC","Baseline",785976430.476838,785543219.991899,785964529.655227,782598209.764318,779574223.500629,777300342.042109,775961091.225119,775369651.196289,6248287697.85242
"35","Burkina Faso","LIC","Sub-Saharan Africa","BFA","Sub-Saharan Africa","LIC","Adjusted",38519617.6532228,43249900.3239214,48297341.3487885,53649835.8654534,59343299.8463218,65401025.8867519,71853027.119032,78733496.1757403,459047544.219231
"36","Burkina Faso","LIC","Sub-Saharan Africa","BFA","Sub-Saharan Africa","LIC","Baseline",29095792.7602589,30123298.5703531,31204741.1300174,32312038.8058691,33467428.1205114,34676362.6929922,35946504.8163681,37285283.0448083,264111449.941178
"37","Burundi","LIC","Sub-Saharan Africa","BDI","Sub-Saharan Africa","LIC","Adjusted",15972108.1129107,18416002.4125716,21029490.6041266,23784614.6746368,26713441.3932789,29825286.2429712,33132228.9469944,36650372.6468671,205523545.034357
"38","Burundi","LIC","Sub-Saharan Africa","BDI","Sub-Saharan Africa","LIC","Baseline",10790241.2320167,11200151.6781242,11625701.6474554,12046115.5015892,12478698.2355792,12925070.2901648,13387683.0191812,13869576.2455698,98323237.8496804
"39","Cambodia","LMIC","East and South East Asia","KHM","East and South East Asia","LMIC","Adjusted",2426575.75234138,2667292.94644026,2926651.00057283,3205041.34473324,3500212.27050684,3813628.76516077,4147345.56754944,4503502.33257567,27190249.9798804
"40","Cambodia","LMIC","East and South East Asia","KHM","East and South East Asia","LMIC","Baseline",2068023.54728666,2145149.23621492,2227990.00177371,2315368.94674856,2405511.59522651,2499210.87257922,2597519.66133849,2701294.07500602,18960067.9361741
"41","Cameroon","LMIC","Sub-Saharan Africa","CMR","Sub-Saharan Africa","LMIC","Adjusted",120492481.052352,131323222.836548,142822630.728133,154960513.870902,167790491.919281,181372614.889376,195778882.921265,211087626.850767,1305628465.06862
"42","Cameroon","LMIC","Sub-Saharan Africa","CMR","Sub-Saharan Africa","LMIC","Baseline",101879631.281077,105115410.585726,108524432.432592,112034435.828034,115682394.210487,119494366.468352,123500937.066066,127730354.412491,913961962.284824
"43","Cape Verde","LMIC","Sub-Saharan Africa","CPV","Sub-Saharan Africa","LMIC","Adjusted",9888264.99009454,10669479.215614,11509340.3701603,12366864.0223144,13279709.3849377,14249815.8153682,15276772.8891664,16370941.313925,103611188.001581
"44","Cape Verde","LMIC","Sub-Saharan Africa","CPV","Sub-Saharan Africa","LMIC","Baseline",8662667.72112603,8945897.14146313,9253311.69628463,9548828.532593,9862292.32660991,10193129.1268311,10539621.9309535,10906131.7669844,77911880.2428458
"45","Central African Republic","LIC","Sub-Saharan Africa","CAF","Sub-Saharan Africa","LIC","Adjusted",146569.122828657,161859.874304729,177825.416412696,195806.984045332,214624.673428604,234225.298513148,254590.482141385,275768.529019097,1661270.38069365
"46","Central African Republic","LIC","Sub-Saharan Africa","CAF","Sub-Saharan Africa","LIC","Baseline",113647.255328743,115736.692948742,117944.166264105,121031.761794769,124179.343292071,127364.503021002,130590.40018868,133890.459068665,984384.581906777
"47","Chad","LIC","Sub-Saharan Africa","TCD","Sub-Saharan Africa","LIC","Adjusted",30348314.8832479,33944461.9569423,37775880.2865555,41810038.1534147,46096301.2642926,50651653.1257989,55494444.6064207,60648429.3955598,356769523.672232
"48","Chad","LIC","Sub-Saharan Africa","TCD","Sub-Saharan Africa","LIC","Baseline",23152697.6205352,23928353.7366741,24745238.4409018,25568616.2951231,26430547.8265287,27334671.2411546,28284749.3411242,29285815.084366,208730689.586408
"49","China","UMIC","East and South East Asia","CHN","East and South East Asia","UMIC","Adjusted",30381845735.1157,32255532090.5613,34239654430.0188,36272417273.7817,38393262356.4435,40626070027.4616,43002344670.4457,45545299032.2866,300716425616.115
"50","China","UMIC","East and South East Asia","CHN","East and South East Asia","UMIC","Baseline",27683159018.4371,28416810050.3707,29187039863.8327,29935954213.2061,30697238493.7858,31487360830.0873,32326496604.4323,33225865587.8414,242959924661.993
"51","Colombia","UMIC","Latin America and Caribbean","COL","Latin America and Caribbean","UMIC","Adjusted",230614699.132331,248871456.174273,268810303.350853,288624464.295683,309907626.89028,332918535.39546,357842299.222185,384734162.750376,2422323547.21144
"52","Colombia","UMIC","Latin America and Caribbean","COL","Latin America and Caribbean","UMIC","Baseline",209925682.85535,217728809.326108,226336619.312607,234206642.025631,242666297.672591,251840563.116106,261780263.120521,272431503.751875,1916916381.18079
"53","Comoros","LIC","Sub-Saharan Africa","COM","Sub-Saharan Africa","LIC","Adjusted",3512017.78489105,3879387.86034191,4269193.78914147,4676398.4228258,5105835.84155012,5559129.34306563,6037779.78162251,6543160.45887504,39582903.2823136
"54","Comoros","LIC","Sub-Saharan Africa","COM","Sub-Saharan Africa","LIC","Baseline",2775891.17834629,2863088.11474041,2954550.36866823,3045569.15439939,3139551.31367145,3236979.93213872,3338155.92883236,3443220.12961917,24797006.120416
"55","Congo","LMIC","Sub-Saharan Africa","COG","Sub-Saharan Africa","LMIC","Adjusted",1386.03545389277,1499.18752959668,1617.78039594084,1737.77407361737,1863.26803416139,1994.4640007371,2131.48886092798,2274.69608262198,14504.6944314961
"56","Congo","LMIC","Sub-Saharan Africa","COG","Sub-Saharan Africa","LMIC","Baseline",1205.24822077632,1246.70527524793,1289.10295466374,1329.19105453846,1370.28985157716,1412.44082888966,1455.62702499251,1499.97777497783,10808.5829856636
"57","Costa Rica","UMIC","Latin America and Caribbean","CRI","Latin America and Caribbean","UMIC","Adjusted",701767928.459707,742163447.534149,784169162.132332,825687373.790428,868618780.167746,913003737.633413,958824480.034038,1006007274.58346,6800242184.33527
"58","Costa Rica","UMIC","Latin America and Caribbean","CRI","Latin America and Caribbean","UMIC","Baseline",640916131.259046,657951844.023282,675300600.21158,691181461.553051,707255375.769345,723531193.824292,739969500.287842,756490383.42122,5592596490.34965
"59","Cote d'Ivoire","LMIC","Sub-Saharan Africa","CIV","Sub-Saharan Africa","LMIC","Adjusted",146427092.154353,159040436.922467,172385425.153019,186577520.425994,201514816.892057,217246438.186346,233833663.720029,251349472.354179,1568374865.80844
"60","Cote d'Ivoire","LMIC","Sub-Saharan Africa","CIV","Sub-Saharan Africa","LMIC","Baseline",124233727.211428,127919738.939002,131786355.396537,135863984.15729,140069318.546218,144424936.141249,148959544.57499,153702705.434301,1106960310.40102
"61","Cuba","UMIC","Latin America and Caribbean","CUB","Latin America and Caribbean","UMIC","Adjusted",1510860127.42019,1577282083.07521,1646713749.57199,1712816469.37922,1781189447.92256,1851872309.05955,1924505849.96712,1998766649.73262,14004006686.1285
"62","Cuba","UMIC","Latin America and Caribbean","CUB","Latin America and Caribbean","UMIC","Baseline",1373676522.15898,1391053635.00771,1409402407.86387,1423362606.74332,1437821953.127,1452762482.35101,1467859544.65894,1482846273.33404,11438785425.2449
"63","Democratic Republic of the Congo","LIC","Sub-Saharan Africa","COD","Sub-Saharan Africa","LIC","Adjusted",169892187.766004,191816376.313258,215234038.010413,239750297.548226,265829287.070208,293604282.416919,323224150.989316,354842184.397474,2054192804.51182
"64","Democratic Republic of the Congo","LIC","Sub-Saharan Africa","COD","Sub-Saharan Africa","LIC","Baseline",124661377.496765,128892054.980921,133352921.311717,137737283.884332,142330956.813237,147163764.602613,152265564.237411,157660068.853538,1124063992.18054
