"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"1","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Adjusted",12126268.3605445,14951762.0274818,17991163.226163,21264831.4315333,24785935.8784725,28565494.9559901,32610924.2486385,36928260.889301,189224641.018125
"2","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Baseline",9878038.81857935,10270500.2228067,10680966.9108025,11112743.2619884,11564689.9151123,12035236.9739359,12522091.5845665,13023349.7939329,91087617.4817247
"3","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Adjusted",5168.22580289945,5671.60730906572,6195.58181469841,6736.03992542907,7300.10868115158,7887.29955887293,8492.58878673127,9111.79495695806,56563.2468358065
"4","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Baseline",4714.87266229423,4739.6024454932,4775.23561997542,4815.79482299866,4865.77167764419,4923.48551272962,4984.9703346539,5047.58672566604,38867.3198014553
"5","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Adjusted",121708029.335141,136576959.409597,151881682.799755,167826961.014915,184040166.102042,200593371.810014,217651797.479494,235329141.759921,1415608109.71088
"6","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Baseline",110436097.503329,113285943.669657,115986754.151714,118706212.145928,121193488.959394,123535468.941478,125852563.439982,128209645.168754,957206173.980236
"7","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Adjusted",79643519.7784609,90179072.6079191,101385600.625357,113865947.182651,127180472.331855,141343321.505396,156338448.459509,172148860.306956,982085242.798105
"8","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Baseline",72584331.1589392,75217509.6129218,77910722.2554599,81065937.290921,84295906.6179275,87598132.2399386,90963801.1837015,94393504.021409,664029844.381218
"9","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Adjusted",5650714965.48933,6175511623.70667,6719621950.44956,7286301892.68344,7869225507.14607,8469589374.22865,9087477890.79006,9722314363.89711,60980757568.3909
"10","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Baseline",5225739179.02283,5307766053.05977,5391480249.50402,5478719142.68409,5564403560.85501,5649672393.39368,5735595900.8129,5823054379.73183,44176430859.0641
"11","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Adjusted",9187556.62780912,10108628.7994963,11033057.5384809,11976079.2396506,12914521.1528063,13853040.2120724,14797865.7270455,15752665.7735804,99623415.0709416
"12","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Baseline",8352324.20709922,8413950.93642475,8465186.82988592,8518085.4018649,8557338.54133856,8588563.93080188,8616937.57253623,8645009.37337754,68157396.793329
"13","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Adjusted",30765675.810702,34201144.6154977,37735259.0201817,41367756.9445769,45060200.9982664,48822281.5037422,52662508.345313,56586697.2706993,347201524.50898
"14","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Baseline",28018740.4704607,28555805.0824285,29074738.6918266,29574137.5873862,30032161.4955082,30461811.8510626,30872681.4597011,31271071.1533926,237861147.791766
"15","Bangladesh","LMIC","South Asia","BGD","South Asia","LMIC","Adjusted",1495565933.81629,1733840063.63661,1985892400.11298,2254795101.56761,2538709690.00122,2838336099.90514,3154455460.89489,3487968632.46863,19489563382.4034
"16","Bangladesh","LMIC","South Asia","BGD","South Asia","LMIC","Baseline",1308064878.71482,1345761096.27431,1384511487.90941,1425716290.90924,1467554083.4318,1510124836.53823,1553548401.6366,1597966833.84561,11593247909.26
"17","Belarus","UMIC","Central and Eastern Europe","BLR","Central and Eastern Europe","UMIC","Adjusted",24714.9941140824,26932.6888766467,29253.4915944507,31634.8040411526,34129.2052369121,36713.6050581535,39327.298214077,41925.6566741649,264631.74380964
"18","Belarus","UMIC","Central and Eastern Europe","BLR","Central and Eastern Europe","UMIC","Baseline",22689.1749244036,22840.0370577339,23048.723967242,23271.7627096054,23543.261086927,23839.9499897389,24120.6433622272,24362.3045836488,187715.857681527
"19","Belize","UMIC","Latin America and Caribbean","BLZ","Latin America and Caribbean","UMIC","Adjusted",2043613.64141388,2303178.62819838,2582483.27846277,2883617.20399816,3205082.87535946,3548407.77939311,3914817.90901681,4305961.08718263,24787162.4030252
"20","Belize","UMIC","Latin America and Caribbean","BLZ","Latin America and Caribbean","UMIC","Baseline",1877355.19626143,1949021.81105994,2024788.09469753,2105092.52543902,2188104.55068899,2274332.82432588,2364081.00882048,2457819.82085825,17240595.8321515
"21","Benin","LIC","Sub-Saharan Africa","BEN","Sub-Saharan Africa","LIC","Adjusted",32276271.3490694,39793468.6177733,47806658.5596352,56372751.1565707,65497078.2141338,75203494.9040782,85513271.9128762,96449486.006496,498912480.720633
"22","Benin","LIC","Sub-Saharan Africa","BEN","Sub-Saharan Africa","LIC","Baseline",26130205.0616736,26995777.7687863,27893117.2544763,28821038.7303563,29778679.0927714,30768299.4380245,31791780.5654162,32851938.9795294,235030836.891034
"23","Bhutan","LMIC","South Asia","BTN","South Asia","LMIC","Adjusted",2916550.55844447,3372399.75146109,3852173.49617803,4363957.33320957,4899609.08957947,5460680.68877267,6050391.22019835,6670928.19901266,37586690.3368563
"24","Bhutan","LMIC","South Asia","BTN","South Asia","LMIC","Baseline",2567923.00648969,2646463.12104006,2724500.4484157,2806617.81312867,2886868.94273195,2966264.3286037,3046410.78122734,3128015.9816035,22773064.4232406
"25","Bolivia","LMIC","Latin America and Caribbean","BOL","Latin America and Caribbean","LMIC","Adjusted",30262482.8403716,34678068.3500496,39375306.8038828,44347041.1366857,49607579.1467098,55167266.8270493,61032510.1788326,67217467.774482,381687723.058063
"26","Bolivia","LMIC","Latin America and Caribbean","BOL","Latin America and Caribbean","LMIC","Baseline",26947425.5377928,27731014.1005976,28547181.2880265,29376830.3119717,30226013.1218342,31094998.9544423,31982112.8894119,32889366.9735756,238794943.177653
