"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"1","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Adjusted",23711729.6233691,29828137.4345111,36338271.8379278,43268915.4752029,50638999.5583308,58464744.0323014,66758805.3975672,75533441.5494356,384543044.908646
"2","Afghanistan","LIC","South Asia","AFG","South Asia","LIC","Baseline",18568218.0515286,19183597.3929597,19819353.412053,20479169.9682427,21161695.4627338,21865428.1513188,22588286.6731684,23328841.6952815,166994590.807287
"3","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Adjusted",5168.22580289945,5671.60730906572,6195.58181469841,6736.03992542907,7300.10868115158,7887.29955887293,8492.58878673127,9111.79495695806,56563.2468358065
"4","Albania","UMIC","Central and Eastern Europe","ALB","Central and Eastern Europe","UMIC","Baseline",4714.87266229423,4739.6024454932,4775.23561997542,4815.79482299866,4865.77167764419,4923.48551272962,4984.9703346539,5047.58672566604,38867.3198014553
"5","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Adjusted",479547776.55753,534111101.174606,590865550.612416,650563067.465381,712063458.719338,775707845.68516,842004260.819011,911278592.132796,5496141653.16623
"6","Algeria","UMIC","Central Asia, Middle East and North Africa","DZA","Central Asia, Middle East and North Africa","UMIC","Baseline",440204211.677462,452383068.452916,464401083.116268,476782650.205944,488674624.055953,500376432.366933,512229766.083884,524403048.070641,3859454884.03
"7","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Adjusted",100090065.270807,112836959.653063,126383242.664558,141355687.500382,157292060.294388,174206375.002349,192086036.89072,210926336.231913,1215176763.50818
"8","Angola","UMIC","Sub-Saharan Africa","AGO","Sub-Saharan Africa","UMIC","Baseline",91562244.1910916,94816878.2633589,98168431.3090917,102029465.808543,105992777.93995,110053625.200787,114204063.724845,118449665.010832,835277151.448498
"9","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Adjusted",5656442548.81222,6182703648.75288,6728305307.82018,7296515976.88251,7880963797.45355,8482897317.8987,9102484647.81184,9739202005.30771,61069515250.7396
"10","Argentina","UMIC","Latin America and Caribbean","ARG","Latin America and Caribbean","UMIC","Baseline",5231039330.75445,5314021500.03474,5398636641.04541,5486730892.07485,5573183866.16369,5659168095.29417,5745807055.07172,5834016526.27175,44242603906.7108
"11","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Adjusted",25507036.5940585,29031167.1348649,32607558.1006078,36349990.7814074,40135139.5422496,43990878.4171289,47947202.9189307,52019508.5553441,307588482.044592
"12","Armenia","LMIC","Central Asia, Middle East and North Africa","ARM","Central Asia, Middle East and North Africa","LMIC","Baseline",22322605.6661642,22539871.5342778,22728502.0837454,22963762.1645275,23163374.577787,23350986.0967201,23544285.7241125,23749017.7732801,184362405.620615
"13","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Adjusted",121406883.85986,134716071.74157,148627368.576992,163596954.286048,179136563.390538,195354887.065449,212314750.555091,230014904.682825,1385168384.15837
"14","Azerbaijan","UMIC","Central Asia, Middle East and North Africa","AZE","Central Asia, Middle East and North Africa","UMIC","Baseline",111574206.44324,114230707.424115,116905535.352313,119892647.234429,122798627.758274,125705183.932495,128653795.949816,131645792.132172,971406496.226855
"15","Bangladesh","LMIC","South Asia","BGD","South Asia","LMIC","Adjusted",1509441907.53344,1751478212.56759,2007850285.13575,2281643170.77885,2571045684.11652,2876791483.53343,3199691199.45354,3540675050.33365,19738616993.4528
"16","Bangladesh","LMIC","South Asia","BGD","South Asia","LMIC","Baseline",1320288950.79898,1359537075.80633,1399934709.73975,1442862970.80878,1486500195.77491,1530947628.61875,1576323196.41976,1622766443.70823,11739161171.6755
"17","Belarus","UMIC","Central and Eastern Europe","BLR","Central and Eastern Europe","UMIC","Adjusted",24714.9941140824,26932.6888766467,29253.4915944507,31634.8040411526,34129.2052369121,36713.6050581535,39327.298214077,41925.6566741649,264631.74380964
"18","Belarus","UMIC","Central and Eastern Europe","BLR","Central and Eastern Europe","UMIC","Baseline",22689.1749244036,22840.0370577339,23048.723967242,23271.7627096054,23543.261086927,23839.9499897389,24120.6433622272,24362.3045836488,187715.857681527
"19","Belize","UMIC","Latin America and Caribbean","BLZ","Latin America and Caribbean","UMIC","Adjusted",4165509.12727866,4677013.46263073,5223168.43224666,5803126.25580303,6418697.27104442,7071935.60585484,7764511.74319395,8498619.12463127,49622581.0226836
"20","Belize","UMIC","Latin America and Caribbean","BLZ","Latin America and Caribbean","UMIC","Baseline",3825888.6201626,3960782.31215535,4102077.57470586,4247472.3153455,4397516.50402585,4552700.24395209,4713325.42345844,4879933.97177538,34679696.9655811
"21","Benin","LIC","Sub-Saharan Africa","BEN","Sub-Saharan Africa","LIC","Adjusted",33155401.3326251,40850323.7403769,49056592.4254797,57829848.0806409,67177994.8284621,77126314.9750377,87697516.9787191,98916354.6463064,511810347.007648
"22","Benin","LIC","Sub-Saharan Africa","BEN","Sub-Saharan Africa","LIC","Baseline",26880051.2241182,27777574.3524895,28709039.2342447,29671752.9622417,30666156.5417469,31694746.8991475,32759560.8841812,33863588.6399279,242022470.738097
"23","Bhutan","LMIC","South Asia","BTN","South Asia","LMIC","Adjusted",3752017.13368568,4363191.71684898,5006029.1747935,5689027.31133272,6403937.40108538,7152781.98790285,7940193.47072799,8769678.07815439,49076856.2745315
"24","Bhutan","LMIC","South Asia","BTN","South Asia","LMIC","Baseline",3275082.27781648,3372441.07839622,3469850.00203869,3571915.94719021,3672512.48511411,3772802.8463064,3874917.46447923,3979883.7365352,28989405.8378765
"25","Bolivia","LMIC","Latin America and Caribbean","BOL","Latin America and Caribbean","LMIC","Adjusted",28116694.5632942,32903100.1549836,37970626.2403646,43344611.9572567,49003146.2139777,54958717.5516521,61222787.2682902,67812970.2690383,375332654.218857
"26","Bolivia","LMIC","Latin America and Caribbean","BOL","Latin America and Caribbean","LMIC","Baseline",24252917.8500881,24852614.5863237,25482618.7143655,26149327.9206716,26828292.8919956,27522204.7283851,28233217.9441142,28965021.2637923,212286215.899736
"27","Bosnia and Herzegovina","UMIC","Central and Eastern Europe","BIH","Central and Eastern Europe","UMIC","Adjusted",85988213.2623307,94057985.2935746,102292579.845594,111000452.220982,119876058.239481,128940007.961577,138150716.243242,147437441.010697,927743454.077477
"28","Bosnia and Herzegovina","UMIC","Central and Eastern Europe","BIH","Central and Eastern Europe","UMIC","Baseline",79239696.0887996,80003311.4993369,80698225.0500226,81541635.3457593,82301584.3028886,83010127.8201094,83666159.2083761,84258707.3606938,654719446.675986
"29","Botswana","UMIC","Sub-Saharan Africa","BWA","Sub-Saharan Africa","UMIC","Adjusted",4523.03253425299,5096.84928758602,5706.53535645392,6344.43185881916,7014.74693659424,7719.63221969751,8463.44936686229,9249.72645761907,54118.4040178852
"30","Botswana","UMIC","Sub-Saharan Africa","BWA","Sub-Saharan Africa","UMIC","Baseline",4164.06169820117,4341.54368333259,4522.72477754607,4701.0218891264,4880.02921126659,5061.13279050381,5246.81596022534,5438.5844339904,38355.9144441924
"31","Brazil","UMIC","Latin America and Caribbean","BRA","Latin America and Caribbean","UMIC","Adjusted",795746.453081604,878976.027915012,964842.151566572,1052743.49730924,1142686.92104252,1234752.89556413,1329178.8872119,1426077.6888083,8825004.52249929
"32","Brazil","UMIC","Latin America and Caribbean","BRA","Latin America and Caribbean","UMIC","Baseline",734535.187459942,752161.06701567,769412.637042881,785903.693472209,801786.651825492,817222.695730708,832437.422072032,847537.859736664,6340997.2143556
"33","Bulgaria","UMIC","Central and Eastern Europe","BGR","Central and Eastern Europe","UMIC","Adjusted",859804422.195743,926051525.797056,992982756.510469,1065449026.53268,1138006056.79454,1210545396.07429,1282668601.35708,1353028506.43894,8828536291.70081
"34","Bulgaria","UMIC","Central and Eastern Europe","BGR","Central and Eastern Europe","UMIC","Baseline",794482870.574259,793482600.622507,791734785.431216,792729882.823458,792198891.120332,790434403.826347,787834946.372397,784720432.325629,6327618813.09614
"35","Burkina Faso","LIC","Sub-Saharan Africa","BFA","Sub-Saharan Africa","LIC","Adjusted",21413541.4072948,27651255.1609568,34294480.4225085,41484622.7095127,49155531.4957291,57322278.0533858,65999350.0162259,75202811.2755605,372523870.541174
"36","Burkina Faso","LIC","Sub-Saharan Africa","BFA","Sub-Saharan Africa","LIC","Baseline",16139506.4188228,16688852.7073834,17252964.0567926,17871900.3876408,18506043.289605,19157087.8887943,19827416.7189647,20520169.1385165,145963940.60652
"37","Burundi","LIC","Sub-Saharan Africa","BDI","Sub-Saharan Africa","LIC","Adjusted",15151514.9188752,20260716.9080733,25741575.405038,31625986.2104559,37917500.7650231,44632725.4428042,51788379.8964581,59402893.4891284,286521293.035856
"38","Burundi","LIC","Sub-Saharan Africa","BDI","Sub-Saharan Africa","LIC","Baseline",10819637.8895322,11230229.1989809,11651601.322051,12083327.5776793,12524034.5756204,12975303.9008717,13438859.1754703,13916615.8058953,98639609.446101
"39","Cambodia","LMIC","East and South East Asia","KHM","East and South East Asia","LMIC","Adjusted",35624007.049798,41787092.9427866,48215189.9505199,54957065.9195535,61962013.0369497,69232474.0216288,76773604.0089596,84587588.1475717,473139035.077768
"40","Cambodia","LMIC","East and South East Asia","KHM","East and South East Asia","LMIC","Baseline",30621145.9511736,31418249.9388625,32201649.9170539,32999560.7049659,33779452.4596466,34546098.1410141,35305108.721681,36060033.5093283,266931299.343726
"41","Cameroon","LMIC","Sub-Saharan Africa","CMR","Sub-Saharan Africa","LMIC","Adjusted",70474847.4995509,82854380.3972721,95933796.701316,110188176.717584,125288303.607712,141252824.579126,158094954.3623,175820378.42886,959907662.293721
"42","Cameroon","LMIC","Sub-Saharan Africa","CMR","Sub-Saharan Africa","LMIC","Baseline",60825174.4522721,62668590.2564725,64535571.8405211,66678855.8211018,68847145.0839212,71047899.0316661,73290600.9057454,75584934.376183,543478771.767883
"43","Cape Verde","LMIC","Sub-Saharan Africa","CPV","Sub-Saharan Africa","LMIC","Adjusted",3125586.18039285,3614377.02653127,4126024.47810936,4681901.39516305,5266610.77542865,5881184.94511217,6526027.50626724,7202097.18305262,40423809.4900572
"44","Cape Verde","LMIC","Sub-Saharan Africa","CPV","Sub-Saharan Africa","LMIC","Baseline",2734298.68690307,2802371.41302083,2871219.09530779,2952494.19819072,3034469.14971144,3117541.75421141,3201916.90212428,3288075.7984152,24002386.9978848
"45","Central African Republic","LIC","Sub-Saharan Africa","CAF","Sub-Saharan Africa","LIC","Adjusted",403127.381883313,573945.281551074,753829.494549189,948622.471734416,1155313.16438267,1373907.57571714,1603816.90411656,1844509.40209809,8657071.67603245
"46","Central African Republic","LIC","Sub-Saharan Africa","CAF","Sub-Saharan Africa","LIC","Baseline",248054.976231744,253940.794688684,259704.356158268,267874.420103205,276115.07881395,284308.887641128,292283.206898391,299963.434321172,2182245.15485654
