"","Country","year_id","Region","sum_increment","DALY.ave","ICER"
"1","Afghanistan",2023,"South Asia",2248229.54196521,0,Inf
"2","Afghanistan",2024,"South Asia",4681261.80467514,50636.5438439002,92.4482883173523
"3","Afghanistan",2025,"South Asia",7310196.31536049,74483.6936005999,98.1449222236425
"4","Afghanistan",2026,"South Asia",10152088.169545,98595.4022120843,102.9671560922
"5","Afghanistan",2027,"South Asia",13221245.9633601,123154.099681512,107.355305244011
"6","Afghanistan",2028,"South Asia",16530257.9820542,148242.086484578,111.508535626108
"7","Afghanistan",2029,"South Asia",20088832.664072,173949.056346331,115.486873490565
"8","Afghanistan",2030,"South Asia",23904911.0953681,200373.323079332,119.301864779193
"9","Albania",2023,"Central and Eastern Europe",453.353140605215,0,Inf
"10","Albania",2024,"Central and Eastern Europe",932.004863572523,15249.0893005048,0.0611187229090247
"11","Albania",2025,"Central and Eastern Europe",1420.34619472299,15122.93941076,0.0939199818331888
"12","Albania",2026,"Central and Eastern Europe",1920.24510243041,14959.5325449519,0.128362640788424
"13","Albania",2027,"Central and Eastern Europe",2434.33700350739,14829.4043751184,0.16415608758986
"14","Albania",2028,"Central and Eastern Europe",2963.81404614331,14738.2260626164,0.201097067825622
"15","Albania",2029,"Central and Eastern Europe",3507.61845207738,14684.8711442846,0.238859327917396
"16","Albania",2030,"Central and Eastern Europe",4064.20823129202,14666.1096776395,0.277115630567557
"17","Algeria",2023,"Central Asia, Middle East and North Africa",11271931.8318126,0,Inf
"18","Algeria",2024,"Central Asia, Middle East and North Africa",23291015.7399395,173557.320449126,134.19782974102
"19","Algeria",2025,"Central Asia, Middle East and North Africa",35894928.6480409,203529.372993646,176.362399785714
"20","Algeria",2026,"Central Asia, Middle East and North Africa",49120748.8689869,233811.994315367,210.086522775784
"21","Algeria",2027,"Central Asia, Middle East and North Africa",62846677.1426485,264508.73249808,237.59774034343
"22","Algeria",2028,"Central Asia, Middle East and North Africa",77057902.8685366,295698.453507568,260.596232257821
"23","Algeria",2029,"Central Asia, Middle East and North Africa",91799234.0395111,327573.924594146,280.239747877514
"24","Algeria",2030,"Central Asia, Middle East and North Africa",107119496.591167,360216.667241856,297.375180919226
"25","Angola",2023,"Sub-Saharan Africa",7059188.61952161,0,Inf
"26","Angola",2024,"Sub-Saharan Africa",14961562.9949973,133276.075977236,112.259930263499
"27","Angola",2025,"Sub-Saharan Africa",23474878.3698968,154021.845336351,152.412654962241
"28","Angola",2026,"Sub-Saharan Africa",32800009.8917301,174037.014154129,188.465712602274
"29","Angola",2027,"Sub-Saharan Africa",42884565.7139274,193733.929302129,221.358054670169
"30","Angola",2028,"Sub-Saharan Africa",53745189.2654571,213256.461582165,252.021387144463
"31","Angola",2029,"Sub-Saharan Africa",65374647.2758078,230103.57200289,284.109658562739
"32","Angola",2030,"Sub-Saharan Africa",77755356.2855472,243582.432195544,319.215780812659
"33","Argentina",2023,"Latin America and Caribbean",424975786.466507,0,Inf
"34","Argentina",2024,"Latin America and Caribbean",867745570.646901,87762.8886453416,9887.38616106342
"35","Argentina",2025,"Latin America and Caribbean",1328141700.94555,156927.708372747,8463.39830433801
"36","Argentina",2026,"Latin America and Caribbean",1807582749.99935,220583.999736836,8194.53247813015
"37","Argentina",2027,"Latin America and Caribbean",2304821946.29107,279526.9036318,8245.43869067803
"38","Argentina",2028,"Latin America and Caribbean",2819916980.83497,334349.930873122,8434.02890340379
"39","Argentina",2029,"Latin America and Caribbean",3351881989.97718,367363.643408521,9124.15273018666
"40","Argentina",2030,"Latin America and Caribbean",3899259984.16527,372451.89324576,10469.1640850175
"41","Armenia",2023,"Central Asia, Middle East and North Africa",835232.420709921,0,Inf
"42","Armenia",2024,"Central Asia, Middle East and North Africa",1694677.86307154,11430.0694244629,148.264879253012
"43","Armenia",2025,"Central Asia, Middle East and North Africa",2567870.70859501,15502.1723522012,165.645862415559
"44","Armenia",2026,"Central Asia, Middle East and North Africa",3457993.83778572,19498.0684624046,177.350584467036
"45","Armenia",2027,"Central Asia, Middle East and North Africa",4357182.61146776,23445.4290882864,185.843585760802
"46","Armenia",2028,"Central Asia, Middle East and North Africa",5264476.28127048,27373.5659212847,192.319710789927
"47","Armenia",2029,"Central Asia, Middle East and North Africa",6180928.1545093,31332.2608982423,197.270416411477
