"","unique_id","cost_2023","cost_2024","cost_2025","cost_2026","cost_2027","cost_2028","cost_2029","cost_2030","senario","Country","Class","Region","total_cost","adjusted_uc","pin_sum"
"1","C1.2_a",13585.5699971476,14121.7290407886,14680.6029097105,15269.744720103,15883.8793244444,16523.3084736039,17188.2906411743,17879.0982875781,"Baseline","Afghanistan","LIC","South Asia",125132.22339455,7.84986196360475,20754.2798349753
"2","C2.4_a",1267717.63847057,1318332.48724486,1371516.77263492,1426534.18834753,1484472.92241406,1545059.70653399,1607902.58742353,1672674.94521751,"Baseline","Afghanistan","LIC","South Asia",11694211.248287,0.468768684082873,32470887.2761905
"3","C2.4_b",1946620.33283057,2024341.02612788,2106007.17021676,2190488.14361014,2279454.89327883,2372487.80714674,2468985.02861067,2568445.02258793,"Baseline","Afghanistan","LIC","South Asia",17956829.4244095,14.3961813599256,1623544.36380952
"4","C2.4_c",3334396.64851241,3467525.64900619,3607412.87434455,3752121.66516272,3904514.21286252,4063871.75730543,4229163.36883002,4399529.96008851,"Baseline","Afghanistan","LIC","South Asia",30758536.1361124,24.6594459475888,1623544.36380952
"5","C2.4_d",859861.514900402,894192.314774746,930265.899945941,967582.852069145,1006881.26216776,1047975.77911331,1090600.55068908,1134534.03872006,"Baseline","Afghanistan","LIC","South Asia",7931894.21238045,22.7110144698228,454592.421866667
"6","C2.4_e",933631.061583473,970907.181721734,1010075.60481647,1050594.06624556,1093263.97960151,1137884.09204552,1184165.7432724,1231868.38882478,"Baseline","Afghanistan","LIC","South Asia",8612390.11811146,24.6594459475888,454592.421866667
"7","C2.5_a",1581.68028264628,1645.18039551355,1710.80518801892,1776.37672772741,1844.60661476362,1915.99880428815,1991.33270197775,2071.19290545942,"Baseline","Afghanistan","LIC","South Asia",14537.1736203951,0.198728191029943,95257.878155439
"8","C2.7_a",155470.691364534,161511.591699119,167647.707478046,174791.991579343,182028.266184324,189378.887335453,196872.975293425,204529.888471268,"Baseline","Afghanistan","LIC","South Asia",1432231.99940551,19.2170038572119,96975.2838527087
"9","C2.7_b",23433.976504722,24344.5167182219,25269.4086816626,26346.2610729619,27436.9791214026,28544.9325358939,29674.5105907034,30828.6311643848,"Baseline","Afghanistan","LIC","South Asia",215879.216389953,2.89656405930016,96975.2838527087
"10","C2.7_c",263.369538109363,271.256383946332,279.191597111582,287.675017647901,296.167962961404,304.681797302727,313.241513100541,321.873242210311,"Baseline","Afghanistan","LIC","South Asia",2337.45705239016,2.89656405930016,1063.75848347449
"11","C2.7_d",33498.9951183355,34800.1877252121,36125.5201375086,37657.2193108179,39209.1543003908,40786.4431501056,42395.425225696,44041.6697736826,"Baseline","Afghanistan","LIC","South Asia",308514.614741749,2.89656405930016,138602.397709125
"12","C2.7_e",194.886226672461,202.419297492446,210.252538444837,218.26544696357,226.621415068758,235.349326959391,244.482537833376,254.040376033568,"Baseline","Afghanistan","LIC","South Asia",1786.31716546841,2.89656405930016,804.153306310383
"13","C2.7_f",1001.58130428454,1035.05548994002,1068.95826580749,1106.42540248302,1144.27889687095,1182.5982552062,1221.50178670674,1261.1321047714,"Baseline","Afghanistan","LIC","South Asia",9021.53150607037,2.89656405930016,4084.81144249869
"14","C2.7_g",2617.9401233186,2696.33677583677,2775.21420821381,2859.54091951248,2943.96230879304,3028.59133873112,3113.67643851968,3199.47736345695,"Baseline","Afghanistan","LIC","South Asia",23234.7394763824,28.7923627198513,1063.75848347449
"15","C2.7_h",332985.978715306,345920.065011548,359094.105273732,374319.467900883,389745.978146339,405424.510277935,421418.078720309,437782.042775936,"Baseline","Afghanistan","LIC","South Asia",3066690.22682199,28.7923627198513,138602.397709125
"16","C2.7_i",1937.20380857463,2012.08387440536,2089.94768482209,2169.59742285277,2252.65723428266,2339.41423319492,2430.19997619838,2525.20659046399,"Baseline","Afghanistan","LIC","South Asia",17756.3108247948,28.7923627198513,804.153306310383
"17","C2.7_j",9955.89657815117,10288.6359463864,10625.6355776743,10998.0655903207,11374.3360674509,11755.2373152027,12141.9453482774,12535.8777692632,"Baseline","Afghanistan","LIC","South Asia",89675.6301927267,28.7923627198513,4084.81144249869
"18","C2.7_k",7210.09163500039,7426.00453671211,7643.24155840958,7875.48648652157,8107.99216808592,8341.0697145889,8575.40332702881,8811.70839972899,"Baseline","Afghanistan","LIC","South Asia",63990.9978260763,79.2972962785493,1063.75848347449
"19","C2.7_l",917079.576542884,952701.455966425,988984.194691985,1030916.49816221,1073402.78403532,1116583.1655743,1160631.19135344,1205699.32690856,"Baseline","Afghanistan","LIC","South Asia",8445998.19323513,79.2972962785493,138602.397709125
"20","C2.7_m",4834.41675209329,5021.28477447049,5215.59892344866,5414.3699697015,5621.65107354045,5838.15874663418,6064.72040983371,6301.81552885647,"Baseline","Afghanistan","LIC","South Asia",44312.0161785788,71.8531937884289,804.153306310383
"21","C2.7_n",24845.5805148021,25675.9530180758,26516.9572819206,27446.3803421842,28385.3875286788,29335.9511012228,30301.0058801729,31284.0895840026,"Baseline","Afghanistan","LIC","South Asia",223791.30525106,71.8531937884289,4084.81144249869
