"","Country","year_id","Region","sum_increment","DALY.ave","ICER"
"1","Afghanistan",2023,"South Asia",11833272.2520719,0,Inf
"2","Afghanistan",2024,"South Asia",16450261.0140298,58968.2667196169,278.968026858373
"3","Afghanistan",2025,"South Asia",21450693.7921493,83984.6891761129,255.411956662338
"4","Afghanistan",2026,"South Asia",26838090.1200566,108953.834480657,246.325338139624
"5","Afghanistan",2027,"South Asia",32653539.2704632,134121.160291637,243.46299420211
"6","Afghanistan",2028,"South Asia",38931424.0421549,159576.433087465,243.967253114477
"7","Afghanistan",2029,"South Asia",45709740.8865495,185412.70739138,246.529709477047
"8","Afghanistan",2030,"South Asia",53028512.1254064,211723.669495754,250.460953429063
"9","Albania",2023,"Central and Eastern Europe",542.587540964964,0,Inf
"10","Albania",2024,"Central and Eastern Europe",753.46868934654,18703.8736184028,0.0402840986160856
"11","Albania",2025,"Central and Eastern Europe",969.432706999648,18534.3938817185,0.0523045270962895
"12","Albania",2026,"Central and Eastern Europe",1186.94116551369,18283.9427060533,0.0649171343728138
"13","Albania",2027,"Central and Eastern Europe",1410.35151539851,18085.9556204995,0.0779804808212592
"14","Albania",2028,"Central and Eastern Europe",1640.71304474744,17944.0947779356,0.0914347067964048
"15","Albania",2029,"Central and Eastern Europe",1878.14451398582,17853.4453523305,0.105197875083571
"16","Albania",2030,"Central and Eastern Europe",2122.63808418121,17805.9686505917,0.119209357594296
"17","Algeria",2023,"Central Asia, Middle East and North Africa",13896940.5994171,0,Inf
"18","Algeria",2024,"Central Asia, Middle East and North Africa",19210795.2607412,204144.502770438,94.1039067916707
"19","Algeria",2025,"Central Asia, Middle East and North Africa",24765687.5042824,220249.960763879,112.443550129994
"20","Algeria",2026,"Central Asia, Middle East and North Africa",30539631.2787515,236409.734511388,129.180938094072
"21","Algeria",2027,"Central Asia, Middle East and North Africa",36504161.9634908,253015.61265044,144.27632184866
"22","Algeria",2028,"Central Asia, Middle East and North Africa",42667726.4967781,270103.492986312,157.968066332783
"23","Algeria",2029,"Central Asia, Middle East and North Africa",49067113.6183236,287821.31949726,170.477689783472
"24","Algeria",2030,"Central Asia, Middle East and North Africa",55736566.6288172,306202.024948884,182.025467134392
"25","Angola",2023,"Sub-Saharan Africa",7657004.37973289,0,Inf
"26","Angola",2024,"Sub-Saharan Africa",10912026.6584799,150274.635461661,72.613895385318
"27","Angola",2025,"Sub-Saharan Africa",14402372.2120044,161355.972198384,89.2583770887453
"28","Angola",2026,"Sub-Saharan Africa",18169979.1171236,172362.582144563,105.417190268618
"29","Angola",2027,"Sub-Saharan Africa",22214351.6652834,183751.115697059,120.89369678662
"30","Angola",2028,"Sub-Saharan Africa",26549728.3605125,195573.410517695,135.753261602555
"31","Angola",2029,"Sub-Saharan Africa",31188627.2770251,207855.063935065,150.049879404278
"32","Angola",2030,"Sub-Saharan Africa",36148003.0809242,220641.693841821,163.831243549276
"33","Argentina",2023,"Latin America and Caribbean",508997439.95204,0,Inf
"34","Argentina",2024,"Latin America and Caribbean",692646381.26545,53591.7635222629,12924.4931635383
"35","Argentina",2025,"Latin America and Caribbean",884548858.581168,89861.8894768932,9843.42599215674
"36","Argentina",2026,"Latin America and Caribbean",1081528996.25533,124726.308571961,8671.21787406497
"37","Argentina",2027,"Latin America and Caribbean",1286018828.0522,158565.9995089,8110.30632061835
"38","Argentina",2028,"Latin America and Caribbean",1498562942.23233,191569.23538901,7822.56576422237
"39","Argentina",2029,"Latin America and Caribbean",1719767671.30071,223914.342019192,7680.47127214972
"40","Argentina",2030,"Latin America and Caribbean",1950149843.52183,255764.302961992,7624.79290869468
"41","Armenia",2023,"Central Asia, Middle East and North Africa",4848693.34719264,0,Inf
"42","Armenia",2024,"Central Asia, Middle East and North Africa",6692888.23066569,13805.2570969139,484.807213924458
"43","Armenia",2025,"Central Asia, Middle East and North Africa",8625296.13199891,18224.4917810845,473.280475286079
"44","Armenia",2026,"Central Asia, Middle East and North Africa",10642464.6801067,22482.1565050942,473.37383661106
"45","Armenia",2027,"Central Asia, Middle East and North Africa",12759935.6882394,26656.0759419526,478.687700171096
