"","Country","year_id","Region","sum_increment","DALY.ave","ICER"
"1","Afghanistan",2023,"South Asia",5143511.57184044,0,Inf
"2","Afghanistan",2024,"South Asia",10644540.0415514,53182.7552544753,200.150217690266
"3","Afghanistan",2025,"South Asia",16518918.4258747,79583.7392978106,207.566502549713
"4","Afghanistan",2026,"South Asia",22789745.5069602,106252.225438227,214.487229918866
"5","Afghanistan",2027,"South Asia",29477304.095597,133381.821950327,220.999411048491
"6","Afghanistan",2028,"South Asia",36599315.8809825,161065.373853129,227.232675809987
"7","Afghanistan",2029,"South Asia",44170518.7243987,189402.319412471,233.210020138171
"8","Afghanistan",2030,"South Asia",52204599.8541541,218501.091017245,238.921460808787
"9","Albania",2023,"Central and Eastern Europe",453.353140605215,0,Inf
"10","Albania",2024,"Central and Eastern Europe",932.004863572523,15249.0893005048,0.0611187229090247
"11","Albania",2025,"Central and Eastern Europe",1420.34619472299,15122.93941076,0.0939199818331888
"12","Albania",2026,"Central and Eastern Europe",1920.24510243041,14959.5325449519,0.128362640788424
"13","Albania",2027,"Central and Eastern Europe",2434.33700350739,14829.4043751184,0.16415608758986
"14","Albania",2028,"Central and Eastern Europe",2963.81404614331,14738.2260626164,0.201097067825622
"15","Albania",2029,"Central and Eastern Europe",3507.61845207738,14684.8711442846,0.238859327917396
"16","Albania",2030,"Central and Eastern Europe",4064.20823129202,14666.1096776395,0.277115630567557
"17","Algeria",2023,"Central Asia, Middle East and North Africa",39343564.880068,0,Inf
"18","Algeria",2024,"Central Asia, Middle East and North Africa",81728032.7216897,195760.86623613,417.489124834113
"19","Algeria",2025,"Central Asia, Middle East and North Africa",126464467.496149,233191.884285868,542.319334497582
"20","Algeria",2026,"Central Asia, Middle East and North Africa",173780417.259438,270872.008399504,641.559156615152
"21","Algeria",2027,"Central Asia, Middle East and North Africa",223388834.663384,308944.708866175,723.070595651953
"22","Algeria",2028,"Central Asia, Middle East and North Africa",275331413.318227,347473.070813118,792.38201876746
"23","Algeria",2029,"Central Asia, Middle East and North Africa",329774494.735128,385057.287275506,856.429694055306
"24","Algeria",2030,"Central Asia, Middle East and North Africa",386875544.062155,421059.802473697,918.813768945142
"25","Angola",2023,"Sub-Saharan Africa",8527821.07971506,0,Inf
"26","Angola",2024,"Sub-Saharan Africa",18020081.3897043,96238.3622423913,187.24426486309
"27","Angola",2025,"Sub-Saharan Africa",28214811.3554664,114448.377326657,246.528714644299
"28","Angola",2026,"Sub-Saharan Africa",39326221.6918385,132127.107949453,297.639313401783
"29","Angola",2027,"Sub-Saharan Africa",51299282.3544383,149553.877449228,343.015395049546
"30","Angola",2028,"Sub-Saharan Africa",64152749.8015624,166836.288527443,384.525155574952
"31","Angola",2029,"Sub-Saharan Africa",77881973.1658757,181165.357524696,429.894402715813
"32","Angola",2030,"Sub-Saharan Africa",92476671.2210814,191524.225995339,482.845816191065
"33","Argentina",2023,"Latin America and Caribbean",425403218.057767,0,Inf
"34","Argentina",2024,"Latin America and Caribbean",868682148.718134,84058.8331489796,10334.216121922
"35","Argentina",2025,"Latin America and Caribbean",1329668666.77477,150165.905596724,8854.66418952414
"36","Argentina",2026,"Latin America and Caribbean",1809785084.80766,211343.130649998,8563.25483227944
"37","Argentina",2027,"Latin America and Caribbean",2307779931.28986,268305.562910962,8601.3122734086
"38","Argentina",2028,"Latin America and Caribbean",2823729222.60453,321579.806192863,8780.80391935753
"39","Argentina",2029,"Latin America and Caribbean",3356677592.74013,353931.925918821,9483.96385555233
"40","Argentina",2030,"Latin America and Caribbean",3905185479.03596,359220.520206702,10871.2761642593
"41","Armenia",2023,"Central Asia, Middle East and North Africa",3184430.92789431,0,Inf
"42","Armenia",2024,"Central Asia, Middle East and North Africa",6491295.60058706,12326.2112925264,526.625371457235
"43","Armenia",2025,"Central Asia, Middle East and North Africa",9879056.01686238,17035.7889550399,579.900117507606
"44","Armenia",2026,"Central Asia, Middle East and North Africa",13386228.6168799,21626.8669427236,618.962915540744
"45","Armenia",2027,"Central Asia, Middle East and North Africa",16971764.9644626,26135.4226077376,649.377866169955
"46","Armenia",2028,"Central Asia, Middle East and North Africa",20639892.3204088,30597.5574786125,674.560129018009
"47","Armenia",2029,"Central Asia, Middle East and North Africa",24402917.1948181,35071.4667930533,695.80543462333
"48","Armenia",2030,"Central Asia, Middle East and North Africa",28270490.782064,39633.3953629202,713.299744399721
"49","Azerbaijan",2023,"Central Asia, Middle East and North Africa",9832677.41661947,0,Inf
"50","Azerbaijan",2024,"Central Asia, Middle East and North Africa",20485364.3174554,64396.0645517386,318.115159055979
"51","Azerbaijan",2025,"Central Asia, Middle East and North Africa",31721833.2246784,84723.1599347896,374.417493977966
"52","Azerbaijan",2026,"Central Asia, Middle East and North Africa",43704307.0516181,104913.707800184,416.573848813507
"53","Azerbaijan",2027,"Central Asia, Middle East and North Africa",56337935.6322639,125165.220611878,450.108547381232
"54","Azerbaijan",2028,"Central Asia, Middle East and North Africa",69649703.1329538,145553.341683021,478.516688985635
"55","Azerbaijan",2029,"Central Asia, Middle East and North Africa",83660954.6052755,165524.193189961,505.430372400387
"56","Azerbaijan",2030,"Central Asia, Middle East and North Africa",98369112.550653,184835.532075144,532.198065200264
"57","Bangladesh",2023,"South Asia",189152956.734462,0,Inf
"58","Bangladesh",2024,"South Asia",391941136.761253,590175.175420564,664.109832274719
"59","Bangladesh",2025,"South Asia",607915575.396003,835609.719922217,727.511373913399
"60","Bangladesh",2026,"South Asia",838780199.970069,1084402.86853308,773.495002927026
"61","Bangladesh",2027,"South Asia",1084545488.34162,1338305.70387273,810.386958079318
"62","Bangladesh",2028,"South Asia",1345843854.91468,1598300.15954193,842.047000295864
"63","Bangladesh",2029,"South Asia",1623368003.03377,1865232.4666658,870.330123480871
"64","Bangladesh",2030,"South Asia",1917908606.62542,2139839.52605447,896.286185610255
"65","Belarus",2023,"Central and Eastern Europe",2025.81918967889,0,Inf
"66","Belarus",2024,"Central and Eastern Europe",4092.65181891279,13522.8172463091,0.302647868736807
"67","Belarus",2025,"Central and Eastern Europe",6204.76762720865,15365.4252583178,0.403813595972541
"68","Belarus",2026,"Central and Eastern Europe",8363.04133154718,17000.2479992918,0.491936431274155
"69","Belarus",2027,"Central and Eastern Europe",10585.9441499851,18499.1865492482,0.572238358795039
"70","Belarus",2028,"Central and Eastern Europe",12873.6550684145,19883.6214224102,0.647450220205112
"71","Belarus",2029,"Central and Eastern Europe",15206.6548518498,21156.9539719262,0.718754451705472
"72","Belarus",2030,"Central and Eastern Europe",17563.352090516,22152.2836584295,0.79284611741746
"73","Belize",2023,"Latin America and Caribbean",339620.50711606,0,Inf
"74","Belize",2024,"Latin America and Caribbean",716231.15047538,2413.94830338499,296.705256475888
"75","Belize",2025,"Latin America and Caribbean",1121090.85754081,2799.91344257143,400.401969752037
"76","Belize",2026,"Latin America and Caribbean",1555653.94045754,3177.48086356046,489.587194150519
"77","Belize",2027,"Latin America and Caribbean",2021180.76701856,3553.62029135662,568.766666470988
"78","Belize",2028,"Latin America and Caribbean",2519235.36190275,3928.57025935667,641.260101153262
"79","Belize",2029,"Latin America and Caribbean",3051186.31973551,4263.4142591119,715.667334745721
"80","Belize",2030,"Latin America and Caribbean",3618685.1528559,4545.84372686837,796.04257653371
"81","Benin",2023,"Sub-Saharan Africa",6275350.10850693,0,Inf
"82","Benin",2024,"Sub-Saharan Africa",13072749.3878874,69329.2115614894,188.560479680242
"83","Benin",2025,"Sub-Saharan Africa",20347553.1912349,80938.941104916,251.393864479394
"84","Benin",2026,"Sub-Saharan Africa",28158095.1183992,92505.3242058607,304.394318490646
"85","Benin",2027,"Sub-Saharan Africa",36511838.2867151,104280.290057302,350.131729271675
"86","Benin",2028,"Sub-Saharan Africa",45431568.0758901,116325.574611114,390.555286124928
"87","Benin",2029,"Sub-Saharan Africa",54937956.0945379,128694.311109477,426.887215300477
"88","Benin",2030,"Sub-Saharan Africa",65052766.0063784,141431.57078881,459.959297938627
"89","Bhutan",2023,"South Asia",476934.855869194,0,Inf
"90","Bhutan",2024,"South Asia",990750.638452759,4652.5383325587,212.948409585244
"91","Bhutan",2025,"South Asia",1536179.17275481,5607.15640473053,273.967598167726
"92","Bhutan",2026,"South Asia",2117111.36414251,6561.55208120968,322.654051654224
"93","Bhutan",2027,"South Asia",2731424.91597127,7518.23222818684,363.306803124649
"94","Bhutan",2028,"South Asia",3379979.14159646,8479.42666504236,398.609396025665
"95","Bhutan",2029,"South Asia",4065276.00624876,9450.52258938501,430.164148892142
"96","Bhutan",2030,"South Asia",4789794.34161919,10434.6233210695,459.028964845111
"97","Bolivia",2023,"Latin America and Caribbean",3863776.71320608,0,Inf
"98","Bolivia",2024,"Latin America and Caribbean",8050485.5686599,63411.3210664058,126.956597548713
"99","Bolivia",2025,"Latin America and Caribbean",12488007.5259992,69441.9855380963,179.833675970399
"100","Bolivia",2026,"Latin America and Caribbean",17195284.0365851,75355.6716482748,228.188318947572
"101","Bolivia",2027,"Latin America and Caribbean",22174853.3219822,81221.1200768426,273.018314706849
"102","Bolivia",2028,"Latin America and Caribbean",27436512.823267,87100.2996492696,314.999063536483
"103","Bolivia",2029,"Latin America and Caribbean",32989569.3241761,92993.471854358,354.751453691748
"104","Bolivia",2030,"Latin America and Caribbean",38847949.005246,98893.7920880868,392.824950737488
"105","Bosnia and Herzegovina",2023,"Central and Eastern Europe",6748517.17353115,0,Inf
"106","Bosnia and Herzegovina",2024,"Central and Eastern Europe",14054673.7942377,29194.9722199073,481.407335769073
"107","Bosnia and Herzegovina",2025,"Central and Eastern Europe",21594354.7955709,35493.0457132724,608.410869273354
"108","Bosnia and Herzegovina",2026,"Central and Eastern Europe",29458816.8752223,41344.9641773807,712.51281652673
"109","Bosnia and Herzegovina",2027,"Central and Eastern Europe",37574473.9365926,46870.8096629845,801.660440832249
"110","Bosnia and Herzegovina",2028,"Central and Eastern Europe",45929880.1414673,52094.4276354581,881.665894534277
"111","Bosnia and Herzegovina",2029,"Central and Eastern Europe",54484557.0348663,56371.6636374994,966.523844058103
"112","Bosnia and Herzegovina",2030,"Central and Eastern Europe",63178733.6500026,59543.1406457256,1061.05813305866
"113","Botswana",2023,"Sub-Saharan Africa",358.970836051825,0,Inf
"114","Botswana",2024,"Sub-Saharan Africa",755.305604253424,4123.07481881274,0.183189885569653
"115","Botswana",2025,"Sub-Saharan Africa",1183.81057890785,4110.80255286634,0.287975538519215
"116","Botswana",2026,"Sub-Saharan Africa",1643.40996969276,4091.31171870238,0.401682903353547
"117","Botswana",2027,"Sub-Saharan Africa",2134.71772532764,4077.57028834934,0.523526898218548
"118","Botswana",2028,"Sub-Saharan Africa",2658.4994291937,4070.43141029811,0.653124733282017
"119","Botswana",2029,"Sub-Saharan Africa",3216.63340663695,4070.7496777164,0.790182069962458
"120","Botswana",2030,"Sub-Saharan Africa",3811.14202362867,4064.24724929709,0.937723959655211
"121","Brazil",2023,"Latin America and Caribbean",61211.2656216619,0,Inf
"122","Brazil",2024,"Latin America and Caribbean",126814.960899341,733756.058689585,0.17282986545395
"123","Brazil",2025,"Latin America and Caribbean",195429.514523691,740699.938314865,0.263844378019397
"124","Brazil",2026,"Latin America and Caribbean",266839.803837032,746468.4144847,0.357469651306326
"125","Brazil",2027,"Latin America and Caribbean",340900.269217027,752083.339103222,0.45327459271138
"126","Brazil",2028,"Latin America and Caribbean",417530.199833422,757597.546972198,0.551124012349454
"127","Brazil",2029,"Latin America and Caribbean",496741.465139871,763080.99214618,0.650968206851512
"128","Brazil",2030,"Latin America and Caribbean",578539.829071641,764133.620477075,0.757118668212032
"129","Bulgaria",2023,"Central and Eastern Europe",65321551.6214849,0,Inf
"130","Bulgaria",2024,"Central and Eastern Europe",132568925.174549,40815.7767550797,3247.98241547736
"131","Bulgaria",2025,"Central and Eastern Europe",201247971.079252,72757.9298098008,2765.99363952963
"132","Bulgaria",2026,"Central and Eastern Europe",272719143.709221,100857.216749133,2704.01219168648
"133","Bulgaria",2027,"Central and Eastern Europe",345807165.674212,125610.041315667,2753.02166970213
"134","Bulgaria",2028,"Central and Eastern Europe",420110992.247948,147420.049750716,2849.75478544707
"135","Bulgaria",2029,"Central and Eastern Europe",494833654.984687,161005.452741449,3073.39687295757
"136","Bulgaria",2030,"Central and Eastern Europe",568308074.113312,157270.803696489,3613.56374327474
