"","Country","year_id","Region","sum_increment","DALY.ave","ICER"
"1","Afghanistan",2023,"South Asia",5143511.57184044,0,Inf
"2","Afghanistan",2024,"South Asia",10646815.2452162,66108.5657201952,161.050464931865
"3","Afghanistan",2025,"South Asia",16525439.9384576,98684.6334246255,167.457073760927
"4","Afghanistan",2026,"South Asia",22803187.6682087,131475.625463303,173.440419757299
"5","Afghanistan",2027,"South Asia",29500769.6479352,164721.931764798,179.094364252955
"6","Afghanistan",2028,"South Asia",36636291.7142129,198537.068264302,184.531241619026
"7","Afghanistan",2029,"South Asia",44224749.5105929,233041.045705352,189.772361245362
"8","Afghanistan",2030,"South Asia",52279926.9569455,268363.582462615,194.810065051313
"9","Albania",2023,"Central and Eastern Europe",453.353140605215,0,Inf
"10","Albania",2024,"Central and Eastern Europe",936.884553362638,18752.2034683637,0.0499613048110976
"11","Albania",2025,"Central and Eastern Europe",1430.64415961639,18607.4616579172,0.0768855089381668
"12","Albania",2026,"Central and Eastern Europe",1936.76261478226,18414.7417204424,0.105174573946494
"13","Albania",2027,"Central and Eastern Europe",2457.6574912357,18260.7166480098,0.134587132510134
"14","Albania",2028,"Central and Eastern Europe",2994.38341491377,18152.6558641419,0.164955664742633
"15","Albania",2029,"Central and Eastern Europe",3545.71450563561,18089.4500329096,0.196010077652167
"16","Albania",2030,"Central and Eastern Europe",4109.93116491672,18067.3610259626,0.227478222138296
"17","Algeria",2023,"Central Asia, Middle East and North Africa",10815791.2498499,0,Inf
"18","Algeria",2024,"Central Asia, Middle East and North Africa",22421598.9934076,173014.986981456,129.593391789873
"19","Algeria",2025,"Central Asia, Middle East and North Africa",34626231.6818598,192293.589366795,180.069610203235
"20","Algeria",2026,"Central Asia, Middle East and North Africa",47512114.7334884,211753.005926353,224.375160700259
"21","Algeria",2027,"Central Asia, Middle East and North Africa",61010973.5964036,231523.714445756,263.519327782286
"22","Algeria",2028,"Central Asia, Middle East and North Africa",75139289.2052172,251644.809344097,298.592644931025
