"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",11548442.2031881,13388190.0625489,15336570.5644224,17363984.543091,19493507.3882899,21733439.5034475,24094540.4920491,26587282.7295782
"2","2.14_a",42584329.6453799,49318647.0253184,56433144.1867279,63827142.1797278,71579602.9389173,79719348.4765179,88283744.9656175,97308837.5600015
"3","2.14_b",144287753.650717,165513840.797741,187263805.802193,209427209.715633,232094256.637212,255273010.136946,278983060.744902,303259947.88143
"4","2.3_a",271071556.352036,312799794.28483,356509447.833742,401312696.223383,447939057.749062,496487823.227875,547075578.100864,599804222.316043
"5","2.3_b",7766363.60037647,8933211.15600212,10141883.0123322,11376405.5560954,12649133.6713102,13961516.5502658,15315392.5427992,16712204.6285482
"6","2.3_c",216857245.081629,250239835.427864,285207558.266993,321050156.978706,358351246.19925,397190258.5823,437660462.480691,479843377.852834
"7","2.3_d",10990285.087939,12620047.2202322,14297433.6043382,16009265.8853714,17765955.1829193,19568712.4441917,21418971.0850817,23317242.7057568
"8","2.4_a",2660668751.52869,3048051883.51253,3447797304.60439,3854943352.29232,4273113001.04137,4702656886.26028,5143973065.55253,5597347386.35786
"9","2.4_b",133033437.576435,152402594.175626,172389865.23022,192747167.614616,213655650.052068,235132844.313014,257198653.277627,279867369.317893
"10","2.4_c",133033437.576435,152402594.175626,172389865.23022,192747167.614616,213655650.052068,235132844.313014,257198653.277627,279867369.317893
"11","2.4_d",37249362.5214017,42672726.3691754,48269162.2644615,53969206.9320925,59823582.0145791,65837196.4076439,72015622.9177355,78362863.4090101
"12","2.4_e",37249362.5214017,42672726.3691754,48269162.2644615,53969206.9320925,59823582.0145791,65837196.4076439,72015622.9177355,78362863.4090101
"13","2.5_a",9400971.98760372,10812084.3705624,12292851.3719727,13820096.5715018,15419255.4134428,17086983.9682625,18812835.6984916,20587538.1422716
"14","2.6_a",136836603.173488,158833461.09109,182212295.532947,206580128.207065,232249286.179086,259327470.829685,287946158.917814,318240615.252946
"15","2.6_b",24855230.9525389,28752096.2048218,32895829.64105,37177707.0698759,41685186.2940068,46433781.8906976,51439717.6457301,56718685.7801995
"16","2.6_c",136836603.173488,158833461.09109,182212295.532947,206580128.207065,232249286.179086,259327470.829685,287946158.917814,318240615.252946
"17","2.6_d",24855230.9525389,28752096.2048218,32895829.64105,37177707.0698759,41685186.2940068,46433781.8906976,51439717.6457301,56718685.7801995
"18","2.6_e",3567009.00192778,4145291.83535764,4757571.09799658,5398513.79202309,6072817.53730524,6784566.79812833,7539354.65800556,8342447.60379482
"19","2.6_f",5456888.83904186,6303442.76155663,7202247.68524257,8132850.94546522,9111902.58213961,10142911.1528825,11229605.5869225,12375634.0023049
"20","2.6_g",2479133.99153852,2879151.76171926,3301916.95665201,3741802.49854832,4203560.40427294,4688545.41327723,5198360.41214092,5734754.00880104
"21","2.7_a",12155876.4745297,14068366.9393248,16110032.1341345,18258823.1029121,20533097.8951071,22948519.1650586,25525824.3946556,28284637.0521612
"22","2.7_b",12155876.4745297,14068366.9393248,16110032.1341345,18258823.1029121,20533097.8951071,22948519.1650586,25525824.3946556,28284637.0521612
"23","2.7_c",244224.398387967,279243.865871489,315947.966173666,354212.356772851,394150.94446901,435969.859654272,479958.791238693,526362.153464507
"24","2.7_d",13408906.5773825,15554208.1089271,17851582.8648444,20264145.9516707,22819981.571066,25538020.8736273,28444198.6505599,31562250.9857783
"25","2.7_e",239344.987559778,270891.110742579,303402.113859451,336114.519546624,369691.631264316,404177.931919554,439593.986405375,475975.975983363
"26","2.7_f",1440332.28302878,1681593.048926,1937749.81727315,2209726.81032394,2496821.96574335,2800572.41283827,3122905.93149032,3465907.74765143
"27","2.7_g",244224.398387967,279243.865871489,315947.966173666,354212.356772851,394150.94446901,435969.859654272,479958.791238693,526362.153464507
"28","2.7_h",13408906.5773825,15554208.1089271,17851582.8648444,20264145.9516707,22819981.571066,25538020.8736273,28444198.6505599,31562250.9857783
"29","2.7_i",239344.987559778,270891.110742579,303402.113859451,336114.519546624,369691.631264316,404177.931919554,439593.986405375,475975.975983363
"30","2.7_j",1440332.28302878,1681593.048926,1937749.81727315,2209726.81032394,2496821.96574335,2800572.41283827,3122905.93149032,3465907.74765143
"31","2.7_k",244224.398387967,279243.865871489,315947.966173666,354212.356772851,394150.94446901,435969.859654272,479958.791238693,526362.153464507
"32","2.7_l",13408906.5773825,15554208.1089271,17851582.8648444,20264145.9516707,22819981.571066,25538020.8736273,28444198.6505599,31562250.9857783
"33","2.7_m",239344.987559778,270891.110742579,303402.113859451,336114.519546624,369691.631264316,404177.931919554,439593.986405375,475975.975983363
"34","2.7_n",1440332.28302878,1681593.048926,1937749.81727315,2209726.81032394,2496821.96574335,2800572.41283827,3122905.93149032,3465907.74765143
"35","3.1_a",13491558.4361117,15768808.4618303,18178779.4817506,20701610.4309201,23355177.0663559,26155752.7685484,29125630.5247639,32285588.7047581
"36","3.2_a",5894607.05310219,6850524.42707252,7871524.52448467,8946743.72246744,10085345.1179487,11295120.8467334,12586427.572088,13969101.199252
"37","3.2_b",119238.752954575,136750.615968033,155115.462291892,174257.478737022,194249.043025306,215193.101446729,237234.038937729,260494.271087987
"38","3.2_c",6483492.29074972,7553525.94033234,8699966.50799189,9904781.0616425,11181840.8263627,12540581.6581394,13993975.9073461,15553916.945004
"39","3.2_d",114494.863008818,130230.40305968,146447.269162324,162778.676570902,179540.262811287,196753.742340209,214429.496521212,232585.479578854
"40","3.2_e",646727.439860881,765368.039088854,891380.086855658,1025152.21039368,1166486.6324861,1316106.5241929,1474926.11005935,1643944.78322185
"41","3.3_a",68590.2018439519,82130.6606903956,96187.0179470113,110563.138253025,125423.968048072,140784.971835968,156647.477888064,172998.420892185
"42","3.3_b",249311716.660649,296342215.970975,344639551.255606,393833583.701565,444226681.86422,495862223.138513,548734845.097963,602786122.816428
"43","3.4_a",17291590.5860672,20040124.8507949,22856848.6594069,25727666.8866736,28663960.6396508,31666737.5848027,34738492.858632,37883758.1623365
"44","3.5_a",9860386.26820926,11499669.6069845,13235832.3972484,15043156.1842358,16941779.0616611,18939098.8028963,21044715.0173908,23267950.5138309
"45","4.1_a",2224971.96375546,2605823.64445141,3010838.16523611,3425994.84276841,3862442.03573569,4323371.84957502,4809067.90391374,5317175.66042137
"46","4.2_a",1146039.65112986,1335905.31014146,1536635.53984771,1745423.51078608,1964483.74704875,2194640.80415779,2436963.75764076,2692486.35328678
"47","4.2_b",534791.461424758,619799.820979355,706917.468818159,795708.48053935,886524.790736105,979397.533842608,1074403.84431488,1171683.86590622
"48","4.3_a",174153.627003638,206481.144191082,240092.578531492,274325.81221394,309721.202919621,346300.981963978,384005.79569907,422724.161181911
"49","4.4_a",195485.376270408,231018.82654908,268457.516458153,306572.16931643,346295.759712672,387784.630739152,430926.744422551,475430.343171132
