"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",1537786.61445949,1582510.01289218,1627751.17278739,1678675.93131489,1728900.95268851,1778841.25375206,1828974.02001567,1879655.86682026
"2","2.14_a",25658789.8835717,26366856.9529364,27083203.0756182,27889832.802215,28685673.0307659,29477218.2421342,30271965.386552,31075518.6289476
"3","2.14_b",87587358.9743863,88641657.648748,89689774.9180278,90746850.1176983,91784505.493968,92805091.5240368,93814663.3593653,94816452.2176528
"4","2.3_a",171146398.982657,175202338.996279,179332550.364533,183406988.097263,187481000.226826,191579700.897301,195729008.408575,199944356.50462
"5","2.3_b",6848135.50706949,6947418.01096405,7047103.57694315,7145399.45742808,7242707.67687729,7339583.6654645,7436542.02767832,7533830.30806784
"6","2.3_c",136917119.186126,140161871.197023,143466040.291627,146725590.47781,149984800.181461,153263760.717841,156583206.72686,159955485.203696
"7","2.3_d",6848135.50706949,6947418.01096405,7047103.57694315,7145399.45742808,7242707.67687729,7339583.6654645,7436542.02767832,7533830.30806784
"8","2.3_e",0,0,0,0,0,0,0,0
"9","2.3_f",0,0,0,0,0,0,0,0
"10","2.4_a",1592197371.15263,1618438344.75265,1644602679.57083,1669888863.15085,1694689788.11683,1719173375.89896,1743487612.74433,1767708612.66065
"11","2.4_b",79609868.5576313,80921917.2376324,82230133.9785414,83494443.1575425,84734489.4058417,85958668.794948,87174380.6372165,88385430.6330327
"12","2.4_c",79609868.5576313,80921917.2376324,82230133.9785414,83494443.1575425,84734489.4058417,85958668.794948,87174380.6372165,88385430.6330327
"13","2.4_d",22290763.1961368,22658136.8265371,23024437.5139916,23378444.0841119,23725657.0336357,24068427.2625854,24408826.5784206,24747920.5772492
"14","2.4_e",22290763.1961368,22658136.8265371,23024437.5139916,23378444.0841119,23725657.0336357,24068427.2625854,24408826.5784206,24747920.5772492
