"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",8686654.14768477,8942536.1128631,9201493.658463,9492705.85421863,9779931.24670726,10065460.0393961,10351953.8080418,10641437.6932969
"2","2.14_a",31968169.1247193,32859717.9320129,33762357.700134,34778196.7719529,35780582.4761926,36777461.827147,37778117.0885039,38789607.2630858
"3","2.14_b",106052816.606881,107317766.684411,108577129.957325,109848408.308597,111097191.088912,112326389.409422,113543065.357899,114750692.940459
"4","2.3_a",202966384.047635,207864472.454832,212850798.267092,217755230.956595,222652172.040172,227570769.893695,232539765.459212,237576476.183412
"5","2.3_b",5762790.00911829,5865665.97702844,5968895.31098571,6068925.71754139,6167680.80366154,6265891.28184778,6364240.74502522,6463062.85035364
"6","2.3_c",162373107.238108,166291577.963866,170280638.613674,174204184.765276,178121737.632137,182056615.914956,186031812.36737,190061180.946729
"7","2.3_d",8101819.49080889,8216128.03030076,8330974.98420633,8444166.00804514,8556291.92339255,8667955.37133236,8779701.99012432,8891802.21433336
"8","2.4_a",1986474889.20607,2017930193.38304,2049306035.58742,2079595180.21243,2109283240.64646,2138574209.61915,2167634968.20975,2196551974.5139
"9","2.4_b",99323744.4603033,100896509.669152,102465301.779371,103979759.010621,105464162.032323,106928710.480958,108381748.410487,109827598.725695
"10","2.4_c",99323744.4603033,100896509.669152,102465301.779371,103979759.010621,105464162.032323,106928710.480958,108381748.410487,109827598.725695
"11","2.4_d",27810648.4488849,28251022.7073625,28690284.4982239,29114332.522974,29529965.3690505,29940038.9346681,30346889.5549365,30751727.6431945
"12","2.4_e",27810648.4488849,28251022.7073625,28690284.4982239,29114332.522974,29529965.3690505,29940038.9346681,30346889.5549365,30751727.6431945
"13","2.5_a",7045699.28114378,7194438.85650571,7351646.62889727,7510933.43273054,7677022.03166496,7846257.62734946,8012586.65555154,8172026.83017752
"14","2.6_a",102917191.906527,106053646.574786,109252706.421136,112829327.252826,116371951.317101,119912518.622821,123481424.210119,127099812.948334
"15","2.6_b",18887266.4192701,19480610.7628789,20096993.5622687,20727443.4344061,21361125.1329213,22001880.2475966,22653056.5605961,23317500.8658416
"16","2.6_c",102917191.906527,106053646.574786,109252706.421136,112829327.252826,116371951.317101,119912518.622821,123481424.210119,127099812.948334
"17","2.6_d",18887266.4192701,19480610.7628789,20096993.5622687,20727443.4344061,21361125.1329213,22001880.2475966,22653056.5605961,23317500.8658416
"18","2.6_e",2666908.43140143,2743956.75005931,2819953.05672312,2913544.22685049,3004551.07849307,3094536.95401389,3185154.09367641,3277267.25960532
"19","2.6_f",4168343.35524751,4298596.78954522,4431351.2735867,4573853.01375996,4715155.04107392,4856404.24723049,4998466.69931234,5141828.08405196
"20","2.6_g",1847155.88656407,1899257.57998192,1952011.63673545,2010816.23261606,2069143.09625227,2127227.28732055,2185301.62852607,2243594.40699373
"21","2.7_a",9328793.4767119,9637003.25234139,9942543.01511546,10330297.0989037,10707080.0495465,11078307.3802249,11449840.8878546,11825371.3636405
"22","2.7_b",9328793.4767119,9637003.25234139,9942543.01511546,10330297.0989037,10707080.0495465,11078307.3802249,11449840.8878546,11825371.3636405
"23","2.7_c",188284.566568598,192589.858326143,196718.302902582,202281.611039177,207620.266206514,212792.170809078,217870.539541872,222886.597155318
"24","2.7_d",10278629.4274604,10644351.7310308,11012948.5355623,11451328.2897232,11881478.8671906,12309390.7934864,12742648.7461684,13186661.166608
"25","2.7_e",184017.337725785,186489.77270064,188986.749489538,191452.334821786,193869.058792977,196269.167687015,198661.095528895,201043.400896826
"26","2.7_f",1064499.59231954,1095203.87579535,1125367.47237439,1165323.68087428,1204218.98594477,1242336.53775781,1279924.09353365,1317124.21007601
"27","2.7_g",188284.566568598,192589.858326143,196718.302902582,202281.611039177,207620.266206514,212792.170809078,217870.539541872,222886.597155318
"28","2.7_h",10278629.4274604,10644351.7310308,11012948.5355623,11451328.2897232,11881478.8671906,12309390.7934864,12742648.7461684,13186661.166608
"29","2.7_i",184017.337725785,186489.77270064,188986.749489538,191452.334821786,193869.058792977,196269.167687015,198661.095528895,201043.400896826
"30","2.7_j",1064499.59231954,1095203.87579535,1125367.47237439,1165323.68087428,1204218.98594477,1242336.53775781,1279924.09353365,1317124.21007601
"31","2.7_k",188284.566568598,192589.858326143,196718.302902582,202281.611039177,207620.266206514,212792.170809078,217870.539541872,222886.597155318
"32","2.7_l",10278629.4274604,10644351.7310308,11012948.5355623,11451328.2897232,11881478.8671906,12309390.7934864,12742648.7461684,13186661.166608
"33","2.7_m",184017.337725785,186489.77270064,188986.749489538,191452.334821786,193869.058792977,196269.167687015,198661.095528895,201043.400896826
"34","2.7_n",1064499.59231954,1095203.87579535,1125367.47237439,1165323.68087428,1204218.98594477,1242336.53775781,1279924.09353365,1317124.21007601
"35","3.1_a",9885602.94462721,10163384.775455,10437523.3214803,10778856.7202283,11110338.8570432,11438165.7825992,11768953.6446861,12106136.7916176
"36","3.2_a",4478870.62664519,4630629.39363619,4780980.44832171,4970681.2553761,5155020.54551874,5336649.06164809,5518474.27972859,5702322.89662085
"37","3.2_b",91215.3807316266,93343.4746564701,95394.3160967738,98098.3456024056,100698.138281435,103224.689320313,105716.533852993,108191.434183952
"38","3.2_c",4916259.94308551,5094426.3165702,5273713.70834103,5486375.38290668,5694863.69415906,5902150.58294572,6112032.2451539,6327192.27257711
"39","3.2_d",86806.6475088637,87989.6406825435,89180.9771832992,90349.8817914103,91491.3893694273,92620.8250708339,93742.5808522613,94856.0593357342
"40","3.2_e",457840.768154651,470995.254800851,483913.11780761,500805.885913851,517227.373611395,533309.337893235,549163.851302127,564847.712464641
"41","3.3_a",44628.0202883585,45425.8169240477,46222.8963891109,46935.9244187919,47643.3947048866,48348.9241615305,49049.7820043006,49739.2791532492
"42","3.3_b",162525143.723673,164307158.26402,166103023.570299,167750203.48565,169393436.017094,171049841.006952,172713984.974293,174363319.249043
"43","3.4_a",12282372.147584,12416812.6820533,12550083.5436742,12683997.5557863,12814634.9621046,12942361.2198405,13068048.3010247,13192111.7736481
"44","3.5_a",7281750.3144853,7495788.68096106,7712432.23247238,7956191.79487394,8196379.14417905,8435029.08212344,8674505.70341188,8916575.13871808
"45","4.1_a",1627129.0153393,1679394.09634735,1734653.79420927,1784749.92252646,1835881.22941346,1889338.93027617,1944766.46514884,2000791.4911871
"46","4.2_a",844369.715074152,868187.103007862,892310.108753674,919484.216173964,946280.96638766,972925.198668119,999678.844850145,1026735.67454199
"47","4.2_b",379867.179822184,384026.40162497,388149.345777788,392292.168874457,396333.590455661,400284.901266149,404173.054020505,408010.894156527
"48","4.3_a",117885.675450332,120231.105684451,122600.875613757,124684.92713222,126767.934685889,128853.484353455,130912.476157117,132905.790377887
"49","4.4_a",137582.937298836,141565.886918207,145666.995211306,149248.218785527,152831.594482042,156483.128280654,160143.171435805,163703.033398488
