"","NCD","total_increment","total_life_year"
"1",1.2,214706271.154739,3009570.51433282
"2",2.14,6663812469.6581,1288254.04471854
"3",2.3,211169410307.682,7916865.16793271
"4",2.4,27884065505.8302,53906749.8957129
"5",2.5,16827603.9284194,3362653.74822501
"6",2.6,55172660267.2229,35331465.1887642
"7",2.7,5975983209.99448,19802344.6050101
"8",3.1,11320605638.7783,12707394.1763272
"9",3.2,42370336775.831,45211393.4889814
"10",3.3,10058306584.6359,4113331.51683641
"11",3.4,29658345915.1081,17681245.3796732
"12",4.1,7563765652.37622,1160467.96205254
"13",4.2,620686669.576892,171044.897135586
"14",4.3,187707136.152225,465195.046060638
"15",4.4,1837377546.55282,451007.117415668
