"","Code","total_increment","total_life_year"
"1",1.2,214692257.736806,3682437.32584201
"2",2.14,6663810431.06357,1576248.71763623
"3",2.3,211170076873.623,9557977.26121618
"4",2.4,27869313227.6513,61941845.689845
"5",2.5,16827448.0148013,4167076.6017399
"6",2.6,55122109230.3075,40878122.3872235
"7",2.7,5972354274.0081,24066890.4224342
"8",3.1,11333251534.6451,15885722.9715202
"9",3.2,42549105828.2503,55944529.8041411
"10",3.3,10058744025.4675,5141777.84734498
"11",3.4,29669830619.7937,22017545.9603978
"12",4.1,7564125256.64181,1450596.27183118
"13",4.2,620690394.223202,213799.545137947
"14",4.3,187708667.888371,581494.95515773
"15",4.4,1837405071.39089,563760.110669446
"16",5.1,11369432.1561206,0
"17",5.2,10993387.9159996,0
"18",5.3,65658470.7015962,0
"19",5.4,15390743.0823995,0
"20",5.5,99766767.1699579,0
"21",5.6,24728514.9395622,0
