"","NCD","total_increment","total_life_year"
"1",1.2,973238706.91259,10533619.6344154
"2",2.14,6663875561.48558,1602212.5159793
"3",2.3,211170348396.305,9896312.87658471
"4",2.4,27913458066.4922,67410321.9704468
"5",2.5,16828960.1168465,4203420.64854056
"6",2.6,55316427414.6427,44176260.3271893
"7",2.7,5985673810.15238,24657719.522309
"8",3.1,11286299726.0554,4196794.92027488
"9",3.2,42549105828.2503,55944529.8041411
"10",3.3,10058744025.4675,5141777.84734498
"11",3.4,17763414597.1901,2251864.3056622
"12",3.5,11868694453.4089,6583978.51733163
"13",4.1,7564992002.78798,2147858.0112513
"14",4.2,620884203.383484,2303892.70402029
"15",4.3,187708667.888371,581494.95515773
"16",4.4,1837405071.39089,563760.110669446
