"","unique_id","cost_2023","cost_2024","cost_2025","cost_2026","cost_2027","cost_2028","cost_2029","cost_2030","senario","Country","Class","Region","total_cost","adjusted_uc","pin_sum"
"1","1.2_a",61245.494004507,63651.6611577185,66193.156380361,68758.4288468837,71462.1088359332,74310.9908069722,77310.7394593632,80464.9347968162,"Baseline","Afghanistan","LIC","South Asia",563397.514288555,7.84986196360475,93513.8013339938
"2","2.14_a",626970.145245427,649700.068457308,673322.938773281,696999.667505607,721612.545550931,747228.18994235,773927.868663117,801745.450697367,"Baseline","Afghanistan","LIC","South Asia",5691506.87483539,18.5356639601964,401727.72171922
"3","2.14_b",6756514.89972305,6903112.73614903,7050456.9030282,7196996.16686834,7344476.07098755,7493234.82104344,7643654.1247102,7796743.19801149,"Baseline","Afghanistan","LIC","South Asia",58185188.9205213,18.5356639601964,4186305.03365132
"4","2.3_a",1745631.19137381,1814477.74592965,1887281.86105008,1959932.81334293,2036746.51409711,2117914.4997172,2203630.66691537,2294053.14554767,"Baseline","Afghanistan","LIC","South Asia",16059668.4379738,4.81494987103738,4345648.64751073
"5","2.3_b",54857.3813626753,57040.7153260586,59340.3279571582,61691.1788406146,64174.0942451753,66778.4538329167,69489.2315595125,72293.3984799508,"Baseline","Afghanistan","LIC","South Asia",505664.781604062,4.81494987103738,136736.683215481
"6","2.3_c",43920385.5909406,45652576.9253086,47484341.1745371,49312251.8202787,51244897.9441921,53287098.6356614,55443732.3698231,57718777.7214667,"Baseline","Afghanistan","LIC","South Asia",404064062.182208,151.431224406128,3476518.91800858
"7","2.3_d",3764590.91092126,3877148.23114123,3989758.36605485,4101000.53078111,4213591.09783656,4327413.52228154,4442430.97022831,4557767.98839663,"Baseline","Afghanistan","LIC","South Asia",33273701.6176415,151.431224406128,289995.111986806
"8","2.4_a",1266465.32303577,1316911.46478048,1370050.57509041,1424513.55063558,1482021.95676171,1542309.1519139,1604993.29350961,1669745.43590553,"Baseline","Afghanistan","LIC","South Asia",11677010.751633,0.468768684082873,32430674.9488659
"9","2.4_b",1944697.36306622,2022159.0014099,2103755.77774145,2187385.3908078,2275691.35838024,2368264.24395922,2464517.71624147,2563946.66883875,"Baseline","Afghanistan","LIC","South Asia",17930417.5204451,14.3961813599256,1621533.7474433
"10","2.4_c",3331102.7632954,3463788.02447618,3603556.42868972,3746806.91098554,3898067.59461819,4056637.14935454,4221511.23906412,4391824.65905362,"Baseline","Afghanistan","LIC","South Asia",30713294.7695373,24.6594459475888,1621533.7474433
"11","2.4_d",859012.100319246,893228.470388705,929271.414420536,966212.303493241,1005218.83279481,1046110.14595442,1088627.24859389,1132547.02502042,"Baseline","Afghanistan","LIC","South Asia",7920227.54098527,22.7110144698228,454029.449284123
"12","2.4_e",932708.773722712,969860.646853331,1008995.80003312,1049105.93507595,1091458.92649309,1135858.40181927,1182023.14693795,1229710.90453501,"Baseline","Afghanistan","LIC","South Asia",8599722.53547045,24.6594459475888,454029.449284123
"13","2.5_a",1579.06028912298,1642.21704505864,1707.766888001,1772.19910555824,1839.54796701218,1910.33699623839,1985.3701405127,2065.23135649555,"Baseline","Afghanistan","LIC","South Asia",14501.7297879997,0.198728191029943,95062.1202772223
"14","2.6_a",5055030.82256743,5251418.7013393,5458981.69659159,5669735.89851948,5889542.05785943,6120396.50233137,6364414.11814639,6623485.03566553,"Baseline","Afghanistan","LIC","South Asia",46433004.8330205,28.7923627198513,2102027.99956959
"15","2.6_b",715717.64193805,743791.700089782,773535.327916873,802999.674144465,834093.364583129,866970.000834102,901787.238133262,938700.856437911,"Baseline","Afghanistan","LIC","South Asia",6577595.80407757,28.7923627198513,297743.913556044
"16","2.6_c",13825481.5126384,14362601.2815517,14930284.9326102,15506696.5163847,16107865.1539233,16739250.7905664,17406637.6284759,18115195.1637995,"Baseline","Afghanistan","LIC","South Asia",126994012.97995,78.746953769573,2102027.99956959
"17","2.6_d",1957483.81646029,2034266.21118451,2115614.86979336,2196199.69476277,2281240.76719309,2371158.18661937,2466383.13924512,2567341.68239725,"Baseline","Afghanistan","LIC","South Asia",17989688.3676558,78.746953769573,297743.913556044
"18","2.6_e",141113.595393836,146617.431836688,152425.97240545,158327.758081896,164494.672010599,170975.577577547,177821.920734593,185073.787297693,"Baseline","Afghanistan","LIC","South Asia",1296850.7153383,24.2593521870715,69667.03966191
