"","unique_id","cost_2023","cost_2024","cost_2025","cost_2026","cost_2027","cost_2028","cost_2029","cost_2030","senario","Country","Class","Region","total_cost","adjusted_uc","pin_sum"
"1","1.2_a",13585.5699971476,14121.7290407886,14680.6029097105,15269.744720103,15883.8793244444,16523.3084736039,17188.2906411743,17879.0982875781,"Baseline","Afghanistan","LIC","South Asia",125132.22339455,7.84986196360475,20754.2798349753
"2","2.14_a",628765.50121068,651674.540377833,675224.016844047,699760.528739825,725026.220153855,751042.711229935,777856.557968038,805494.560672475,"Baseline","Afghanistan","LIC","South Asia",5714844.63719669,18.5356639601964,403106.262202321
"3","2.14_b",6773088.46278208,6925042.87030745,7077371.31981253,7230277.90869579,7383550.07464117,7537441.24886951,7692261.47694678,7848482.09652424,"Baseline","Afghanistan","LIC","South Asia",58467515.4585795,18.5356639601964,4202486.00872678
"4","2.3_a",1908802.77735178,1983679.66074163,2061695.23355689,2141230.81441485,2224098.01309972,2310464.66499106,2400576.81770177,2494661.36801013,"Baseline","Afghanistan","LIC","South Asia",17525209.3498678,4.81494987103738,4743044.54111026
"5","2.3_b",119761.098516499,123354.619257937,126960.169973226,130542.773734873,134165.178152178,137823.45013833,141518.820419033,145237.141423015,"Baseline","Afghanistan","LIC","South Asia",1059363.25161509,4.81494987103738,290298.607410965
"6","2.3_c",40205165.8758973,41782299.7488559,43425543.9242926,45100804.0713187,46846238.177098,48665381.3628885,50563416.136389,52545121.630738,"Baseline","Afghanistan","LIC","South Asia",369133970.927478,126.77177845854,3794435.63288821
"7","2.3_d",3153164.17734872,3247777.21123718,3342706.97971704,3437032.58279511,3532406.08876659,3628723.94423571,3726018.55271447,3823917.42584501,"Baseline","Afghanistan","LIC","South Asia",27891746.9626598,126.77177845854,290298.607410965
"8","2.3_e",0,0,0,0,0,0,0,0,"Baseline","Afghanistan","LIC","South Asia",0,126.77177845854,0
"9","2.3_f",0,0,0,0,0,0,0,0,"Baseline","Afghanistan","LIC","South Asia",0,126.77177845854,0
"10","2.4_a",1267717.63847057,1318332.48724486,1371516.77263492,1426534.18834753,1484472.92241406,1545059.70653399,1607902.58742353,1672674.94521751,"Baseline","Afghanistan","LIC","South Asia",11694211.248287,0.468768684082873,32470887.2761905
"11","2.4_b",1946620.33283057,2024341.02612789,2106007.17021677,2190488.14361015,2279454.89327884,2372487.80714675,2468985.02861068,2568445.02258794,"Baseline","Afghanistan","LIC","South Asia",17956829.4244096,14.3961813599256,1623544.36380952
"12","2.4_c",3334396.64851241,3467525.6490062,3607412.87434456,3752121.66516272,3904514.21286253,4063871.75730544,4229163.36883002,4399529.96008852,"Baseline","Afghanistan","LIC","South Asia",30758536.1361124,24.6594459475888,1623544.36380952
"13","2.4_d",859861.514900403,894192.314774747,930265.899945942,967582.852069146,1006881.26216776,1047975.77911331,1090600.55068909,1134534.03872006,"Baseline","Afghanistan","LIC","South Asia",7931894.21238046,22.7110144698228,454592.421866667
