"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",7189482.74291681,7401470.8315764,7624467.09077523,7841627.82102069,8064207.48204311,8294173.4916836,8533787.77938922,8784557.01595604
"2","2.14_a",26429442.6381626,27170728.5826541,27950256.3985136,28710516.6210694,29489819.6652678,30294936.8193345,31133676.3922248,32011184.4630766
"3","2.14_b",86666446.332118,87649533.2016423,88633936.4653146,89567839.9342391,90500191.1130482,91433095.3025367,92371658.2368278,93324340.9645556
"4","2.3_a",168265821.532871,172289400.194338,176438957.608552,180276605.508063,184177519.639631,188161052.130783,192245863.260876,196440130.008304
"5","2.3_b",4750648.68694318,4833507.43899642,4917389.31754762,4994937.93407373,5072541.9066792,5150641.22437673,5229669.4020318,5309814.14000168
"6","2.3_c",134612657.226297,137831520.155471,141151166.086842,144221284.40645,147342015.711705,150528841.704626,153796690.608701,157152104.006643
"7","2.3_d",6646906.51548892,6738086.31522531,6830319.45264316,6917515.19312846,7004979.99745698,7093039.05606167,7181978.08701642,7271766.63642464
"8","2.4_a",1646225755.58827,1671241302.18816,1696451253.29432,1719566618.74583,1742534265.60274,1765493427.87971,1788552534.27338,1811752539.64387
"9","2.4_b",82311287.7794138,83562065.1094079,84822562.6647161,85978330.9372917,87126713.280137,88274671.3939855,89427626.7136688,90587626.9821936
"10","2.4_c",82311287.7794138,83562065.1094079,84822562.6647161,85978330.9372917,87126713.280137,88274671.3939855,89427626.7136688,90587626.9821936
"11","2.4_d",23047160.5782358,23397378.2306342,23750317.5461205,24073932.6624417,24395479.7184384,24716907.9903159,25039735.4798273,25364535.5550142
"12","2.4_e",23047160.5782358,23397378.2306342,23750317.5461205,24073932.6624417,24395479.7184384,24716907.9903159,25039735.4798273,25364535.5550142
"13","2.5_a",5852393.84147455,5973977.82690198,6104014.22036309,6230001.47710692,6363552.53472531,6501348.50776867,6638017.01741791,6769973.40072351
"14","2.6_a",85106003.0000022,87642799.4585949,90335326.3737402,92959413.6110489,95664305.6243529,98471764.1079095,101404733.262487,104480201.855982
"15","2.6_b",15797420.0398403,16284833.3088328,16801502.3555576,17288161.7628246,17789810.0173274,18309026.2175191,18847852.9648266,19407521.4990785
"16","2.6_c",85106003.0000022,87642799.4585949,90335326.3737402,92959413.6110489,95664305.6243529,98471764.1079095,101404733.262487,104480201.855982
"17","2.6_d",15797420.0398403,16284833.3088328,16801502.3555576,17288161.7628246,17789810.0173274,18309026.2175191,18847852.9648266,19407521.4990785
"18","2.6_e",2188882.06745895,2250700.82792525,2315810.71872181,2381060.6188265,2448261.96204562,2518543.12168453,2593252.56491715,2673225.08555181
"19","2.6_f",3494339.37655513,3601605.1505428,3714624.47734761,3821989.965706,3932420.00954346,4046602.87908862,4165085.06816809,4288210.48096048
"20","2.6_g",1518922.21649686,1561100.04976088,1605424.55783183,1648771.105259,1693302.41629405,1739228.64296034,1786770.88064576,1836131.98913707
"21","2.7_a",7794716.74079782,8053039.05131653,8327668.78522014,8603301.66039781,8888180.31181327,9186689.93992963,9503914.81065357,9843118.281961
"22","2.7_b",7794716.74079782,8053039.05131653,8327668.78522014,8603301.66039781,8888180.31181327,9186689.93992963,9503914.81065357,9843118.281961
"23","2.7_c",158342.460660001,161971.828515858,165781.068253021,169632.693019708,173588.849532828,177714.754142459,182089.824455728,186755.384195985
"24","2.7_d",8598491.02588854,8904880.65666723,9230164.17844811,9551054.35131447,9881313.52288381,10226602.6327684,10593756.1225857,10986945.2228004
"25","2.7_e",155617.634352312,157632.002264059,159734.921728294,161537.985007548,163399.765353827,165322.530926902,167299.124035046,169329.253711
"26","2.7_f",861608.314644126,886258.988985034,912423.460461554,939760.607082689,967892.758699488,997173.150382527,1027962.47973541,1060547.15094446
"27","2.7_g",158342.460660001,161971.828515858,165781.068253021,169632.693019708,173588.849532828,177714.754142459,182089.824455728,186755.384195985
