"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",1214929.63659446,1250050.53491118,1285580.40179267,1325593.97424857,1365042.42984959,1404264.03955851,1443643.561033,1483465.23405919
"2","2.14_a",20247524.7506761,20803705.9323968,21366388.198608,22000320.6830796,22625518.6290988,23247267.2051933,23871598.5602105,24502981.1010388
"3","2.14_b",68348361.5016193,69139527.5196152,69924855.6712526,70715926.0995736,71490619.1716583,72250763.3709771,73001121.8683504,73744035.5971141
"4","2.3_a",135318653.841735,138506433.203151,141752023.81661,144952576.994697,148151233.763434,151368159.534258,154623950.684499,157930737.485978
"5","2.3_b",5399107.72783994,5475604.37234365,5552385.14121671,5628095.76973033,5702932.66133781,5777355.253401,5851781.72409948,5926429.90646311
"6","2.3_c",108254923.073388,110805146.562521,113401619.053288,115962061.595758,118520987.010747,121094527.627406,123699160.547599,126344589.988782
"7","2.3_d",5399107.72783994,5475604.37234365,5552385.14121671,5628095.76973033,5702932.66133781,5777355.253401,5851781.72409948,5926429.90646311
"8","2.3_e",0,0,0,0,0,0,0,0
"9","2.3_f",0,0,0,0,0,0,0,0
"10","2.4_a",1253687407.86715,1273689612.07972,1293624176.01499,1312862507.3274,1331697049.90525,1350266274.20953,1368691629.79978,1387035633.16421
"11","2.4_b",62684370.3933577,63684480.603986,64681208.8007497,65643125.3663698,66584852.4952627,67513313.7104764,68434581.4899889,69351781.6582107
"12","2.4_c",62684370.3933577,63684480.603986,64681208.8007497,65643125.3663698,66584852.4952627,67513313.7104764,68434581.4899889,69351781.6582107
"13","2.4_d",17551623.7101402,17831654.5691161,18110738.4642099,18380075.1025835,18643758.6986736,18903727.8389334,19161682.8171969,19418498.864299
"14","2.4_e",17551623.7101402,17831654.5691161,18110738.4642099,18380075.1025835,18643758.6986736,18903727.8389334,19161682.8171969,19418498.864299
"15","2.5_a",4435193.44726893,4530357.64232725,4630542.03670358,4731816.53437154,4836982.86380799,4943978.00010274,5049365.46941876,5150859.78393365
"16","2.6_a",66458180.5012981,68419499.6532358,70424712.2559352,72676261.6544152,74907304.8026265,77140224.1296792,79395774.1235766,81688094.4022948
"17","2.6_b",11637493.3968029,11990250.978583,12357041.5332262,12731750.8439954,13108383.0015129,13489410.352095,13876985.8730715,14272886.8085829
"18","2.6_c",66458180.5012981,68419499.6532358,70424712.2559352,72676261.6544152,74907304.8026265,77140224.1296792,79395774.1235766,81688094.4022948
"19","2.6_d",11637493.3968029,11990250.978583,12357041.5332262,12731750.8439954,13108383.0015129,13489410.352095,13876985.8730715,14272886.8085829
"20","2.6_e",1763490.20960457,1812295.13650228,1860516.36489985,1920182.16087483,1978199.92349215,2035654.5598165,2093649.17545527,2152753.62602544
"21","2.6_f",2548458.67777713,2624783.18711293,2702511.37616036,2786757.62979758,2870155.2136033,2953517.57705658,3037474.902631,3122363.29904252
"22","2.6_g",1121167.14134474,1151877.93756896,1182968.93373693,1217783.11303003,1252279.10972967,1286637.12699477,1321042.26963701,1355651.64425468
"23","2.7_a",5759789.61678625,5944222.95405853,6127076.23074551,6360436.66377845,6586909.94530113,6809997.95784673,7033341.30465308,7259158.83082124
"24","2.7_b",5759789.61678625,5944222.95405853,6127076.23074551,6360436.66377845,6586909.94530113,6809997.95784673,7033341.30465308,7259158.83082124
"25","2.7_c",110897.242752235,113366.943547304,115729.784782179,118930.92310426,121995.516835285,124961.481515402,127874.762860541,130754.738416829
"26","2.7_d",6108238.48190496,6321317.91222552,6536295.16969087,6792488.81828892,7043824.81587049,7293853.93836856,7547015.29444269,7806465.60042615
"27","2.7_e",127615.812998314,129251.040632784,130907.574894138,132548.292778038,134159.740583141,135763.114583349,137361.502087609,138952.216879766
"28","2.7_f",684058.948672145,703181.170006087,721970.482879392,746829.352735468,770975.037481614,794630.249262646,817990.118368582,841161.214714066
"29","2.7_g",110897.242752235,113366.943547304,115729.784782179,118930.92310426,121995.516835285,124961.481515402,127874.762860541,130754.738416829
"30","2.7_h",6108238.48190496,6321317.91222552,6536295.16969087,6792488.81828892,7043824.81587049,7293853.93836856,7547015.29444269,7806465.60042615
"31","2.7_i",127615.812998314,129251.040632784,130907.574894138,132548.292778038,134159.740583141,135763.114583349,137361.502087609,138952.216879766
"32","2.7_j",684058.948672145,703181.170006087,721970.482879392,746829.352735468,770975.037481614,794630.249262646,817990.118368582,841161.214714066
"33","2.7_k",110897.242752235,113366.943547304,115729.784782179,118930.92310426,121995.516835285,124961.481515402,127874.762860541,130754.738416829
"34","2.7_l",6108238.48190496,6321317.91222552,6536295.16969087,6792488.81828892,7043824.81587049,7293853.93836856,7547015.29444269,7806465.60042615
"35","2.7_m",127615.812998314,129251.040632784,130907.574894138,132548.292778038,134159.740583141,135763.114583349,137361.502087609,138952.216879766
"36","2.7_n",684058.948672145,703181.170006087,721970.482879392,746829.352735468,770975.037481614,794630.249262646,817990.118368582,841161.214714066
"37","3.1_a",8035332.70139415,8259377.77855525,8480185.27756065,8756919.19133255,9025286.63947498,9290501.33490529,9558125.79300352,9831008.83721746
"38","3.2_a",3745563.51795243,3868029.72945121,3989617.38852114,4143843.93261935,4293659.32891088,4441398.22799052,4589614.16541525,4739895.21085166
"39","3.2_b",76793.3609816563,78515.7485439846,80181.6176307832,82376.5043053272,84486.4300188123,86540.4500456225,88574.0382189255,90604.3073137981
"40","3.2_c",4108337.53838783,4252685.55973225,4398182.39928203,4571249.4885205,4740812.06164704,4909487.53083204,5080601.78207121,5256475.61934603
"41","3.2_d",72812.8044905689,73753.7471789729,74704.0543064382,75634.4520038325,76542.7248068979,77442.0185581307,78336.3612801054,79225.417105119
"42","3.2_e",360391.12568533,370237.099597952,379936.879386432,392618.001271177,404937.860295205,417017.093661683,428958.619499636,440814.430863891
"43","3.3_a",32634.3203824665,33177.966370641,33717.0708021602,34193.0426847386,34660.7236872116,35122.9337734943,35577.3913957594,36018.7098841363
"44","3.3_b",119102415.321541,120265572.177753,121434560.761783,122492831.07082,123543067.784926,124599676.668439,125658853.292041,126702733.958411
"45","3.4_a",5967261.19032053,6141838.1034387,6318605.65274646,6517602.74687363,6713591.59346303,6908299.20732165,7103719.03258252,7301324.69383094
"46","3.4_b",9763025.42852513,9862997.32113347,9961845.24110144,10060915.4410823,10157107.9456644,10250719.961819,10342454.3525467,10432610.1463762
"47","4.1_a",1326284.17832888,1368825.57500352,1413794.70970396,1454524.51987646,1496061.18723106,1539487.6236323,1584495.39414109,1629915.43382867
"48","4.2_a",690737.686487278,710173.795316696,729864.252351743,752057.55679838,773932.027541645,795677.958430041,817515.517588068,839606.007917456
"49","4.2_b",301949.240057478,305041.15426186,308098.306425818,311162.333229348,314137.359144261,317032.576138731,319869.722243713,322658.045764214
"50","4.3_a",89713.2969670384,91444.2485222762,93187.4187291283,94710.1408404299,96225.7713406878,97736.9043002308,99219.7158479663,100642.426116179
