"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",326581565.85918,448398670.871761,577493587.090223,712678689.319221,854976814.570725,1004893802.13617,1163088006.26427,1330221928.83503
"2","2.14_a",555089247.751455,760945250.263826,978568943.659549,1206268814.02336,1445573902.78648,1697278604.99342,1962430845.77122,2242102189.60448
"3","2.14_b",1809745743.14817,2439511042.39655,3082543922.10614,3736683840.18502,4403239000.34927,5082271552.02417,5774095716.31787,6479397616.53758
"4","2.3_a",1008675578.53996,1376599183.23477,1761525383.9652,2158898060.71113,2572058952.34882,3001657745.01508,3448473678.74445,3913218941.31852
"5","2.3_b",28203962.5733998,38236262.5737865,48593090.805219,59192745.7070748,70085025.5090865,81276938.7808749,92778529.2259952,104598303.072193
"6","2.3_c",69146063376.7541,94283480613.1024,120536188992.786,147585938637.871,175656170181.457,204785791011.315,235020627685.124,266400830485.158
"7","2.3_d",3171457766.17455,4277133707.1182,5407814103.00093,6558030960.77117,7731026620.23538,8927281289.665,10147372129.2492,11391674732.3046
"8","2.4_a",1036068256.05095,1402008426.18297,1778093958.10202,2161531935.45227,2553789804.40529,2954980111.07305,3365263372.31696,3784749997.42608
"9","2.4_b",5075325647.19048,6856088091.02467,8680038315.21559,10533314307.7149,12422407266.9665,14347573606.1994,16309213644.162,18307469636.477
"10","2.4_c",1250780111.26514,1697569305.51183,2159361164.39019,2632860356.93142,3120133477.13333,3621441177.05844,4137140561.12541,4667533575.10073
"11","2.4_d",2241873839.49714,3028472575.16661,3834148225.63883,4652777660.23524,5487228172.40464,6337613025.04868,7204109047.04347,8086779075.57045
"12","2.4_e",350218431.154239,475319405.543313,604621126.029253,737200899.940798,873637373.597332,1014003529.57636,1158399357.11511,1306909401.0282
"13","2.5_a",5884845.46911403,7990523.94685368,10184492.11058,12451928.0443648,14817004.7188468,17276734.1870248,19813679.1480219,22408894.767403
"14","2.6_a",10544564859.6463,14496354359.0275,18688256906.2017,23081340945.3167,27711496894.3265,32595204801.8062,37752330718.4718,43203592400.9533
"15","2.6_b",2157245857.00281,2969108673.39651,3832634687.90348,4735138022.30834,5686917143.02746,6690844441.45895,7750034589.39217,8867570939.54905
"16","2.6_c",4073627180.33376,5606047740.39939,7235031442.86854,8947285159.55836,10755651149.3616,12666896900.7916,14689569022.1903,16832981391.5356
"17","2.6_d",713275017.195811,981758974.903561,1267379246.70304,1566241104.79219,1881688090.96623,2214738834.77632,2566510061.29128,2938140528.73438
"18","2.6_e",61003124.5673686,83824825.2407977,107971320.230834,133367887.664725,160126113.989231,188386876.134269,218354975.422214,250238245.906079
"19","2.6_f",555380393.479892,764518168.751765,986732106.758071,1219260251.41103,1464441832.93848,1723041910.49685,1995903565.12597,2283881659.62678
"20","2.6_g",230298625.541916,316024846.336707,406635128.106558,501517120.622363,601273044.728245,706165504.310646,816504505.033798,932639067.791027
"21","2.7_a",83808423.4250436,115596579.22625,149553706.494313,185550192.804189,223780426.115073,264461125.301596,307893098.275668,354390737.339784
"22","2.7_b",29479866.2369146,40662594.6590079,52608430.1033036,65258899.9593036,78693447.9414045,92992853.8965942,108268847.942296,124635288.791394
"23","2.7_c",615835.265859814,840595.895497384,1076027.15244485,1321610.56711593,1578179.57498641,1846843.67409202,2129225.72184862,2426864.62962354
"24","2.7_d",32888998.3285227,45461326.472827,58941245.4601388,73217029.077413,88397852.2808688,104578915.40421,121899421.894763,140499020.242753
"25","2.7_e",593583.508039474,802178.266486852,1016440.94368317,1233758.48716451,1456083.97949755,1683634.12869794,1916549.96570403,2155018.63624063
"26","2.7_f",3180527.80024319,4364656.39566924,5618445.67575087,6942824.04185443,8340342.59282908,9817382.47752462,11382054.3192222,13043158.4144524
"27","2.7_g",23413053.3859321,31951826.6778143,40894004.210828,50208215.4682779,59934942.7226537,70118251.9100937,80822030.8493607,92106358.3073334
"28","2.7_h",1219842879.46099,1686139016.27457,2186038317.91703,2715022528.22237,3277365547.27461,3876687562.0215,4518323488.1583,5207570249.37057
"29","2.7_i",22437649.8156151,30307778.4930457,38381670.9844249,46561438.3275514,54916917.9598657,63454712.285974,72179083.993925,81095732.606175
"30","2.7_j",102473520.290139,140468371.842777,180611174.835494,222782238.842562,267171358.198467,313981017.674273,363460078.005319,415865123.339615
"31","2.7_k",6810205.4609905,9299355.49137862,11907828.9956441,14636668.283628,17489977.7899719,20478931.6172182,23620203.7111741,26929898.6008869
"32","2.7_l",381452947.209755,527273689.034942,683655191.916585,849519198.692684,1026001393.6665,1214154068.69018,1415491829.84399,1631566117.10861
"33","2.7_m",6016077.73540828,8138028.66981178,10322946.5972395,12543881.5671486,14822729.418243,17162523.414938,19565255.5134888,22033546.3600226
"34","2.7_n",41583165.4503511,57147292.335476,73672973.4123676,91251127.7062492,109858446.602512,129579996.683142,150528377.814745,172832841.086237
"35","3.1_a",3789017159.42637,5195188458.27824,6681994303.89985,8244752621.57546,9890596198.12257,11628376671.2168,13470900433.7307,15430994305.353
"36","3.2_a",6055717911.3243,8368803219.64134,10841189973.2136,13460760865.6663,16243881738.8212,19207267758.7512,22374047431.9165,25767926767.0273
"37","3.2_b",127339316.778104,174052367.846011,223008474.456636,274090471.126561,327477600.554322,383401998.181873,442202687.199158,504203740.489031
"38","3.2_c",6764825704.16875,9367415956.56268,12159396769.6063,15117564847.4574,18264458256.0563,21619801136.1894,25212488942.1531,29071636436.5106
"39","3.2_d",122586524.270993,165765901.917995,210118184.393004,255103909.044271,301119551.546387,348206484.476214,396391144.483538,445709737.60606
"40","3.2_e",636036544.440489,873773458.537803,1125506391.34885,1391260133.13101,1671643049.63494,1967917687.51966,2281683675.23062,2614671517.22327
"41","3.3_a",19264926.352612,26110592.5811067,33162185.5811813,40346179.8053787,47704131.7953019,55234798.1074079,62929555.3575235,70771792.2074657
"42","3.3_b",3633209230.87065,4891242575.81,6172765283.7076,7470414046.37654,8788656537.18398,10128289199.4326,11488974790.2063,12868808379.983
"43","3.4_a",6448548808.35135,8675390342.423,10940538142.3281,13235382541.9526,15564620231.112,17928115915.8969,20326587676.2147,22762011406.6529
"44","3.5_a",3986150080.54958,5472430451.5545,7047497109.6115,8697215221.69775,10433870757.9262,12263596808.0798,14194405568.874,16234399469.922
"45","4.1_a",2545037196.63618,3500756534.52834,4517291710.97773,5573164295.94075,6684192128.63957,7857014825.28083,9092862058.84791,10386662783.0925
"46","4.2_a",142773408.560216,195804331.60131,251898553.912025,310651958.748963,372441533.920034,437468852.028592,506002308.531392,578321396.724539
"47","4.2_b",70721195.9209098,95500692.274919,120886974.917811,146804568.315705,173304224.260816,200391863.474711,228083697.483139,256411141.385499
"48","4.3_a",66234092.9799776,89994692.0613492,114605437.348617,139725751.654966,165575263.3292,192150614.804961,219390769.192283,247191762.337699
"49","4.4_a",627432486.663453,860560893.43954,1106457588.24036,1359749728.72295,1623916622.03053,1899699336.37701,2186499888.7813,2482605027.60265
