"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",24180312.7475099,24890478.0399189,25610342.0256642,26418147.5025708,27212928.6316705,28002395.479716,28794954.0224825,29596712.7052065
"2","2.14_a",185909136.451724,191103349.267759,196366602.837792,202283677.475062,208119484.850321,213923475.098384,219752193.526607,225648048.715978
"3","2.14_b",604262477.176837,611021118.671111,617735832.096442,624506235.378407,631131400.68039,637628635.063905,644039341.028648,650381461.338736
"4","2.3_a",349636674.142697,357591384.661388,365674273.267151,373612817.434283,381521433.174738,389451589.630065,397453851.329339,405557429.501357
"5","2.3_b",13056283.8829895,13229282.8895489,13403074.9127758,13574400.0973031,13743593.5576963,13911745.0655789,14079774.4086492,14248215.6977637
"6","2.3_c",23182397028.1201,23687059230.0598,24198788457.2115,24699202672.6261,25195679859.8232,25691772381.165,26190772252.1016,26694482995.5414
"7","2.3_d",1022376774.13505,1033997591.94988,1045663833.19299,1057161481.90458,1068426234.64761,1079556836.78433,1090628353.20731,1101698501.5585
"8","2.3_e",0,0,0,0,0,0,0,0
"9","2.3_f",0,0,0,0,0,0,0,0
"10","2.4_a",345714432.780707,351111191.879143,356458935.662616,361604061.75665,366606232.23753,371503146.716138,376323459.691061,381081743.19202
"11","2.4_b",1693497323.48485,1717054609.33526,1740262844.19712,1762431353.61179,1783731890.71176,1804371369.22423,1824494958.29044,1844176224.74309
"12","2.4_c",417373407.117918,425106947.67515,432827410.922762,440323226.950134,447717412.199835,455046070.165835,462341762.19838,469621156.225406
"13","2.4_d",748051969.607266,758457698.52967,768709244.581006,778501522.904055,787910400.326157,797027274.819438,805916270.525419,814609883.399856
"14","2.4_e",116864553.993017,119029945.349042,121191675.058373,123290503.546038,125360875.415954,127412899.646434,129455693.415547,131493923.743114
"15","2.5_a",1964344.70301296,2000550.52247509,2039592.77095936,2079838.15376715,2122419.1030863,2165914.69912557,2207955.07206616,2246988.9039268
"16","2.6_a",3532867812.14253,3648877378.28811,3766083689.22251,3896177447.90274,4024371928.24375,4151720959.2055,4279158143.68487,4407265292.80949
"17","2.6_b",721801886.472316,746185269.327967,771343821.647869,797092937.591767,822838304.871174,848718909.597664,874855960.922567,901353553.568367
"18","2.6_c",1365615844.2277,1411587453.63683,1458173365.52884,1509808637.96845,1560935048.22714,1611927427.39358,1663157477.01174,1714901598.2351
"19","2.6_d",238645376.900606,246670371.901964,254961575.937719,263424423.228071,271928629.477489,280519298.254936,289236124.900375,298114685.60307
"20","2.6_e",20477726.0095065,21142470.2417623,21790881.3030422,22584057.9904755,23351912.0197816,24106406.1509044,24860336.6607757,25620119.7334277
"21","2.6_f",185989088.861921,192317746.78219,198724854.99106,205548043.7206,212294293.66372,219011755.218312,225736141.219834,232486384.643863
"22","2.6_g",77106248.353311,79447086.9589873,81804711.6679888,84428286.2851315,87023782.900309,89599530.2078782,92163497.5741971,94724270.1311215
"23","2.7_a",28183931.0725396,29172297.8004522,30148351.7684403,31376581.1804732,32570624.9226388,33744785.8696082,34914844.6098182,36091073.3929395
"24","2.7_b",9910025.75552873,10258553.8100586,10603101.2184075,11034799.6722487,11454212.0100834,11867166.5434894,12280014.1338797,12696707.119244
"25","2.7_c",206660.148131134,211663.692972615,216478.156084496,222797.606817226,228872.738670799,234771.043595868,240577.554982962,246331.886463169
"26","2.7_d",11043742.2999599,11456114.9145282,11870347.211972,12359392.5270897,12838840.1922732,13315274.0141235,13797110.3722444,14290343.6726517
"27","2.7_e",198356.013632923,201208.711876593,204062.534428075,206848.995114714,209556.65794077,212222.652411177,214859.956554982,217467.866074973
"28","2.7_f",1069456.78849883,1101261.95345173,1132482.83147696,1172799.507342,1212005.27114683,1250403.07754764,1288252.25125952,1325686.89523914
"29","2.7_g",7853602.34030939,8042631.11898312,8225696.82802594,8461502.88655626,8688464.1254882,8909632.11564119,9128742.32753506,9347718.65408181
"30","2.7_h",409532155.485788,424832696.739284,440197516.010545,458290066.05611,476007782.763256,493614157.539716,511445299.348075,529737081.045912
"31","2.7_i",7496725.44089229,7600964.00472861,7704911.55250202,7805442.1994457,7902460.03932645,7997465.61541443,8091077.50664615,8183299.53415464
"32","2.7_j",34415576.0481714,35400917.4409692,36371523.8068569,37592539.1069083,38777810.9297467,39940026.1306323,41089850.8830894,42232304.5162608
"33","2.7_k",2287254.34609697,2343282.11050239,2396506.70349015,2468975.92139682,2538485.43296741,2605499.36560688,2670665.94721733,2734180.40963681
"34","2.7_l",128132124.59078,132911550.062331,137715274.219753,143414044.115969,149012458.917475,154575662.527104,160187352.173741,165909182.002329
"35","2.7_m",2011004.62847678,2041810.03974915,2072802.47543009,2103570.64496565,2133821.50551274,2163880.27225113,2193811.07226147,2223590.7356403
"36","2.7_n",14004136.0899225,14440709.1528807,14867489.2094087,15435649.3391312,15989259.2544001,16530739.0672679,17062262.3011632,17585214.3421623
"37","3.1_a",1271916727.57654,1309138390.51898,1345654625.1782,1391141196.32254,1435201575.68075,1478638671.91884,1522300593.45712,1566613858.12531
"38","3.2_a",2035616434.51248,2115338795.63203,2193787920.40637,2290441653.14556,2384434622.97539,2476861189.68259,2568920862.96985,2661377829.63078
"39","3.2_b",42728301.5157988,43887132.3298001,45001184.0859137,46427505.4756731,47802285.3173605,49137909.9503018,50450364.9059524,51747342.921467
"40","3.2_c",2271459539.56369,2364830368.06003,2458160885.71323,2567193536.36853,2674148173.93969,2780275515.79483,2887205658.88768,2996135917.20787
"41","3.2_d",40962967.5202874,41608735.664444,42249329.2475706,42872691.4082397,43475458.5564604,44065283.5377049,44644874.5350876,45213945.8694973
"42","3.2_e",213819767.175696,220674059.936253,227372788.731293,235854491.62103,244094640.483362,252147800.320088,260059234.32238,267849775.908806
"43","3.3_a",6423683.47070975,6530380.1153772,6636145.6061634,6729252.00539178,6820711.44237795,6911058.89860786,6999822.81424725,7085956.17373402
"44","3.3_b",1211337342.08906,1223170265.70922,1235045063.44623,1245722962.25054,1256305492.9915,1266938588.75189,1277583987.79586,1288065871.07502
"45","3.4_a",1335206683.60871,1375546958.45447,1416326824.83648,1461974949.80671,1506875479.78845,1551427735.21336,1596070916.00333,1641132579.06976
"46","3.4_b",2153163682.10239,2173375517.29616,2193302774.468,2213291100.5322,2232598165.83768,2251284812.08925,2269497495.48717,2287270240.51392
"47","4.1_a",849797419.430602,876927956.722457,905584962.688959,931474542.496012,957857817.126926,985419619.151327,1013960376.95851,1042742957.80143
"48","4.2_a",47824362.0096999,49178999.4685905,50550719.3770464,52092999.8237161,53616553.8001313,55132831.0573592,56655406.7628006,58194648.1855192
"49","4.2_b",23613012.3009534,23919165.0666116,24224539.8701024,24533364.1871794,24837912.5758967,25138837.1130258,25437733.5305234,25735584.4477362
"50","4.3_a",22086768.7076193,22509467.0659348,22935087.585831,23305689.3016802,23674648.6800039,24042512.4887598,24403385.0303155,24749577.2920804
"51","4.4_a",209433767.498726,215489715.361787,221724155.06006,227162515.532392,232603652.868792,238147243.778819,243704189.619875,249112306.832363
