"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",109387129.095878,112677365.704177,116005105.378392,119730500.078874,123393276.293315,127027421.852256,130669896.218677,134348012.291021
"2","2.14_a",185909136.451724,191104518.763778,196368867.292023,202287044.674668,208123911.346408,213928901.029426,219758543.095841,225655236.045518
"3","2.14_b",604262477.176837,611022404.925961,617738328.349182,624509919.618851,631136220.628033,637634528.288395,644046237.34602,650389286.452917
"4","2.3_a",336916366.078214,344877904.783522,352970172.047154,360905915.200499,368808022.802227,376726409.506872,384708178.993255,392780994.64175
"5","2.3_b",9412498.78405234,9570934.75527809,9729670.88430803,9883238.62741256,10034208.5312415,10183874.9750222,10333375.0277592,10483246.6006321
"6","2.3_c",23093899395.7958,23618362523.1242,24150329291.6348,24669842093.0958,25185059632.5107,25699513206.4329,26216343001.215,26737308452.6083
"7","2.3_d",1058108996.33352,1070304408.11186,1082547878.28994,1094614808.4225,1106445839.22844,1118142067.82639,1129780926.62776,1141420862.8079
"8","2.4_a",345714432.780707,351227500.74842,356684366.737792,361936478.091579,367040803.245338,372034502.632673,376945866.450537,381789214.20465
"9","2.4_b",1693497323.48485,1717663059.76322,1741441415.24901,1764168297.33272,1786001308.17356,1807144630.96852,1827741667.03745,1847864809.23674
"10","2.4_c",417373407.117918,425230987.38239,433068136.548887,440678600.213793,448182547.37314,455615468.388406,463009477.719358,470380911.760719
"11","2.4_d",748051969.607266,758726463.371946,769229843.217017,779268766.024859,788912847.852124,798252280.540608,807350407.34941,816239205.665249
"12","2.4_e",116864553.993017,119064676.467069,121259078.233688,123390008.059862,125491113.264479,127572331.148754,129642653.76142,131706655.293001
"13","2.5_a",1964344.70301296,2000603.78587525,2039695.84350054,2079990.04679909,2122617.57439028,2166157.28470454,2208239.14130771,2247311.73725613
"14","2.6_a",3532867812.14253,3652324525.55175,3772740355.11227,3906080100.60159,4037400137.57611,4167720328.34257,4297941914.76447,4428627973.7336
"15","2.6_b",721801886.472316,746721256.432385,772387670.203537,798645801.574798,824885648.783042,851242486.387291,877834236.216652,904763627.092681
"16","2.6_c",1365615844.2277,1412751747.60904,1460426680.58858,1513167751.03641,1565363620.18524,1617376409.20484,1669565713.13969,1722200088.22374
"17","2.6_d",238645376.900606,246823520.145468,255259930.777869,263868267.984334,272513834.363728,281240681.811588,290087544.094793,299089574.633388
"18","2.6_e",20477726.0095065,21166574.9305694,21837185.6299085,22653120.8937436,23442782.24043,24217807.6100373,24990706.2027047,25767724.9444168
"19","2.6_f",185989088.861921,192476159.810049,199031017.397611,206002759.874641,212891488.75377,219743904.761099,226594526.097349,233461522.05208
"20","2.6_g",77106248.353311,79500260.4052034,81907818.1694001,84582629.3184427,87228040.056612,89851670.145701,92460782.9175986,95063523.2919932
"21","2.7_a",28183931.0725396,29189012.2956041,30180703.1219837,31425161.9067805,32635042.1581697,33824392.7023594,35008751.7821273,36198250.0450886
"22","2.7_b",9910025.75552873,10264768.871065,10615137.652376,11052872.110942,11478175.9878798,11896788.5733742,12314976.4676879,12736647.6264423
"23","2.7_c",206660.148131134,211754.635319913,216654.242174312,223063.151780505,229226.093593757,235208.907263634,241094.994898805,246923.017377273
"24","2.7_d",11043742.2999599,11462215.6003386,11882232.8762266,12377300.8998645,12862689.8606238,13344894.110563,13832242.6958365,14330690.1789087
"25","2.7_e",198356.013632923,201276.003251908,204191.524369018,207037.163039987,209799.877153619,212516.651339823,215200.346357844,217850.069188
"26","2.7_f",1069456.78849883,1101765.41023476,1133448.60639828,1174242.21682965,1213906.90214466,1252736.26405637,1290980.52202395,1328766.33394598
"27","2.7_g",7853602.34030939,8046158.33060241,8232531.66173291,8471801.1886058,8702159.36034949,8926599.05378464,9148799.16577346,9370655.59195571
"28","2.7_h",409532155.485788,425065960.110772,440652001.549368,458974739.572183,476919499.954904,494746435.285104,512788412.391428,531279937.395015
"29","2.7_i",7496725.44089229,7603531.91351422,7709837.78075025,7812626.63911594,7911745.66031943,8008691.10629094,8104078.35904494,8197904.92142798
"30","2.7_j",34415576.0481714,35418061.7895078,36404427.4652853,37641569.0670465,38842300.4428036,40019038.2323689,41182204.7695324,42336632.9331799
"31","2.7_k",2287254.34609697,2344247.27003207,2398372.39665688,2471794.63714885,2542241.1722456,2610155.46083007,2676164.52688402,2740448.28630926
"32","2.7_l",128132124.59078,132978244.237691,137845193.713878,143609859.881302,149273299.193193,154899630.233198,160571539.041995,166350153.114583
"33","2.7_m",2011004.62847678,2042479.26805973,2074083.28911547,2105440.04055656,2136238.20564444,2166800.90194508,2197190.41715485,2227381.23919876
"34","2.7_n",14004136.0899225,14446805.2021648,14879174.8299929,15453170.3629379,16012425.6640892,16559222.170683,17095588.2826017,17622783.9148081
"35","3.1_a",1271916727.57654,1307797576.2454,1343082941.45529,1387311172.66695,1430168338.54061,1472474423.0129,1515092227.88131,1558456318.67643
"36","3.2_a",2035616434.51248,2118468393.80696,2199866567.51477,2299596296.05134,2396610338.40638,2491955975.69033,2586785900.32874,2681841080.47453
"37","3.2_b",42728301.5157988,43934481.0692672,45093173.2610575,46566544.5694758,47987759.3493931,49368364.7909712,50723498.4784274,52060416.5049093
"38","3.2_c",2271459539.56369,2368026974.30543,2464400884.32257,2576615605.12871,2686722148.87535,2795923181.10643,2905800319.58874,3017529662.12367
"39","3.2_d",40962967.5202874,41636702.2102879,42302967.9447306,42950966.2194835,43576672.3139313,44187673.9144383,44786620.73763,45373140.7294232
"40","3.2_e",213819767.175696,220897852.550246,227802686.276117,236496818.088782,244941580.892597,253187479.217281,261275802.14466,269224288.975253
"41","3.3_a",6423683.47070975,6530508.81511113,6636402.16224666,6729634.45583922,6821218.34336886,6911689.02095005,7000574.63522509,7086827.27626997
"42","3.3_b",1211337342.08906,1223186258.073,1235076854.66581,1245770229.29859,1256367978.25922,1267016066.95471,1277676235.17129,1288172522.77613
"43","3.4_a",2153163682.10239,2172959006.48073,2192502722.38283,2212115464.65346,2231068591.93704,2249426310.53667,2267338456.16242,2284840362.93453
"44","3.5_a",1335206683.60871,1374918972.74134,1415119888.45309,1460189301.79208,1504539635.47655,1548577722.49906,1592751265.89247,1637390982.94564
"45","4.1_a",849797419.430602,876974394.166132,905676624.222497,931609788.960492,958035220.879983,985638338.242226,1014219376.81023,1043040840.07583
"46","4.2_a",47824362.0096999,49186080.7733283,50564346.3029518,52113206.3332524,53643042.5214395,55165211.2072221,56693175.7830637,58237257.2150911
"47","4.2_b",23613012.3009534,23919853.7634326,24225867.8627596,24535321.8363901,24840467.8432275,25141951.9391351,25441363.5167347,25739682.1748018
"48","4.3_a",22086768.7076193,22509522.1043805,22935197.7800989,23305854.1382453,23674867.9432707,24042786.0818424,24403712.7488304,24749958.3840832
"49","4.4_a",209433767.498726,215490711.713187,221726148.870531,227165493.354171,232607604.38406,238152163.765986,243710068.968264,249119112.835971
