"","Code","Latin America and Caribbean","Central and Eastern Europe","Central Asia, Middle East and North Africa","Sub-Saharan Africa","South Asia","East and South East Asia","Oceania"
"1",1.2,2,3,2,2,2,2,2
"2",2.14,15,14,14,14,13,14,14
"3",2.3,14,15,15,15,15,15,15
"4",2.4,7,4,4,6,6,4,5
"5",2.5,1,1,1,1,1,1,1
"6",2.6,8,8,8,9,9,8,8
"7",2.7,3,2,3,4,3,5,3
"8",3.1,5,7,7,7,7,6,4
"9",3.2,6,5,6,5,5,7,6
"10",3.3,9,9,11,8,11,9,11
"11",3.4,12,11,10,11,8,10,9
"12",4.1,11,12,12,12,14,12,12
"13",4.2,13,13,13,13,12,13,13
"14",4.3,4,6,5,3,4,3,7
"15",4.4,10,10,9,10,10,11,10
