"","Code","Latin America and Caribbean","Central and Eastern Europe","Central Asia, Middle East and North Africa","Sub-Saharan Africa","South Asia","East and South East Asia","Oceania"
"1",1.2,4,4,4,3,4,4,4
"2",2.14,9,7,7,11,7,7,11
"3",2.3,16,16,16,16,16,16,16
"4",2.4,14,13,13,12,14,13,12
"5",2.5,1,1,1,1,1,1,1
"6",2.6,15,15,15,15,15,14,15
"7",2.7,7,6,6,7,6,9,6
"8",3.1,8,12,11,9,13,8,8
"9",3.2,12,14,14,13,11,15,13
"10",3.3,10,8,8,10,8,10,10
"11",3.4,13,11,12,14,10,11,14
"12",3.5,11,9,9,8,9,12,9
"13",4.1,6,10,10,6,12,6,7
"14",4.2,3,3,3,5,5,3,5
"15",4.3,2,2,2,2,2,2,2
"16",4.4,5,5,5,4,3,5,3
