"","Code","Latin America and Caribbean","Central and Eastern Europe","Central Asia, Middle East and North Africa","Sub-Saharan Africa","South Asia","East and South East Asia","Oceania"
"1",1.2,2,3,2,2,2,2,2
"2",2.14,14,14,12,13,13,14,14
"3",2.3,16,16,16,16,16,16,16
"4",2.4,7,4,5,6,7,4,5
"5",2.5,1,1,1,1,1,1,1
"6",2.6,8,8,8,9,9,8,8
"7",2.7,3,2,3,4,3,5,3
"8",3.1,10,12,11,12,12,10,11
"9",3.2,6,6,7,5,6,7,7
"10",3.3,9,9,14,8,11,11,10
"11",3.4,15,15,15,15,15,15,15
"12",3.5,13,10,10,10,8,9,9
"13",4.1,12,13,13,14,14,12,13
"14",4.2,5,5,6,7,5,3,4
"15",4.3,4,7,4,3,4,6,6
"16",4.4,11,11,9,11,10,13,12
