"","Code","sum_increment_all","sum_ly_all","ICER","ICER_rank","Country","NCD_region","World_bank","iso3","q30diff","ICER2","ICER_rank2"
"1",1.2,1717059.18659443,19952.6743144576,86.0565936943228,2,"Afghanistan","South Asia","LIC","AFG",10.0815008892546,5.87137646038285,3
"2",2.14,192035678.013747,9578.65263593686,20048.2975333372,13,"Afghanistan","South Asia","LIC","AFG",10.080119152966,0.0524908665786806,9
"3",2.3,1382507762.74837,55400.2993265497,24954.8789366527,15,"Afghanistan","South Asia","LIC","AFG",10.1280917811964,0.0073258842041235,15
"4",2.4,234491770.581894,275517.513192473,851.095699379666,5,"Afghanistan","South Asia","LIC","AFG",10.078515427665,0.0429802521540736,11
"5",2.5,44168.6517570928,23330.6711203913,1.89315821774577,1,"Afghanistan","South Asia","LIC","AFG",10.0848339433243,228.325600672309,1
"6",2.6,638658025.549834,201626.447255747,3167.5310170979,8,"Afghanistan","South Asia","LIC","AFG",10.0882817763148,0.0157960620124199,14
"7",2.7,42125802.8091291,133387.642475554,315.81488380267,3,"Afghanistan","South Asia","LIC","AFG",10.0886610601826,0.239488873503351,6
"8",3.1,234078398.489669,23044.3392488247,10157.7396497323,11,"Afghanistan","South Asia","LIC","AFG",10.0848393562022,0.0430831696614128,10
"9",3.2,282826798.02005,280468.024344618,1008.41013402845,6,"Afghanistan","South Asia","LIC","AFG",10.0926510102206,0.0356849176983051,13
"10",3.3,78855061.3497307,5935.09639847719,13286.2309313061,12,"Afghanistan","South Asia","LIC","AFG",10.083944065924,0.127879477782671,8
"11",3.4,276466483.607265,12706.4857141419,21757.9029974879,14,"Afghanistan","South Asia","LIC","AFG",10.0784507030376,0.0364545118508996,12
"12",3.5,44083915.8588147,12552.9457666474,3511.83831096791,9,"Afghanistan","South Asia","LIC","AFG",10.0828991252081,0.228720587288572,7
"13",4.2,17122107.8242096,6346.40827272931,2697.92094810285,7,"Afghanistan","South Asia","LIC","AFG",10.0835629993623,0.588920657601792,5
"14",4.3,545061.268713173,1674.91241579241,325.42672892857,4,"Afghanistan","South Asia","LIC","AFG",10.0862754714209,18.5048471619227,2
"15",4.4,5804273.57786849,861.329243723991,6738.73970976939,10,"Afghanistan","South Asia","LIC","AFG",10.0859299532926,1.73767308139126,4
"16",1.2,2217732.7466365,2593.40941587498,855.141780954885,2,"Albania","Central and Eastern Europe","UMIC","ALB",10.2716790649671,4.63161265961622,4
"17",2.14,18054496.6792278,428.743246539836,42110.2765464791,14,"Albania","Central and Eastern Europe","UMIC","ALB",10.27254379429,0.568974254824219,7
"18",2.3,470339125.975805,5656.75213579731,83146.4972628699,16,"Albania","Central and Eastern Europe","UMIC","ALB",10.2786066035772,0.0218536073992405,16
