Super_region,Region,Location (GBD),Country (WB),Country (WHO),NCD_region,SDI,World_bank_2015,iso3,LocID,gbd2019
South Asia,South Asia,Afghanistan,Afghanistan,Afghanistan,South Asia,Low SDI,LIC,AFG,4,Afghanistan
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Albania,Albania,Albania,Central and Eastern Europe,Middle SDI,UMIC,ALB,8,Albania
North Africa and Middle East,North Africa and Middle East,Algeria,Algeria,Algeria,"Central Asia, Middle East and North Africa",Middle SDI,UMIC,DZA,12,Algeria
"Southeast Asia, East Asia, and Oceania",Oceania,American Samoa,American Samoa,NA,NA,Middle SDI,UMIC,ASM,16,American Samoa
High-income,Western Europe,Andorra,Andorra,NA,NA,High SDI,HIC,AND,20,Andorra
Sub-Saharan Africa,Central Sub-Saharan Africa,Angola,Angola,Angola,Sub-Saharan Africa,Low SDI,UMIC,AGO,24,Angola
Latin America and Caribbean,Caribbean,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,NA,High-middle SDI,HIC,ATG,28,Antigua and Barbuda
High-income,Southern Latin America,Argentina,Argentina,Argentina,Latin America and Caribbean,High-middle SDI,UMIC,ARG,32,Argentina
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Armenia,Armenia,Armenia,"Central Asia, Middle East and North Africa",High-middle SDI,LMIC,ARM,51,Armenia
High-income,Australasia,Australia,Australia,Australia,High-income Western countries,High SDI,HIC,AUS,36,Australia
High-income,Western Europe,Austria,Austria,Austria,High-income Western countries,High SDI,HIC,AUT,40,Austria
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Azerbaijan,Azerbaijan,Azerbaijan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,AZE,31,Azerbaijan
North Africa and Middle East,North Africa and Middle East,Bahrain,Bahrain,Bahrain,"Central Asia, Middle East and North Africa",Middle SDI,HIC,BHR,48,Bahrain
South Asia,South Asia,Bangladesh,Bangladesh,Bangladesh,South Asia,Low-middle SDI,LMIC,BGD,50,Bangladesh
Latin America and Caribbean,Caribbean,Barbados,Barbados,Barbados,Latin America and Caribbean,High-middle SDI,HIC,BRB,52,Barbados
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Belarus,Belarus,Belarus,Central and Eastern Europe,High-middle SDI,UMIC,BLR,112,Belarus
High-income,Western Europe,Belgium,Belgium,Belgium,High-income Western countries,High SDI,HIC,BEL,56,Belgium
Latin America and Caribbean,Caribbean,Belize,Belize,Belize,Latin America and Caribbean,Low-middle SDI,UMIC,BLZ,84,Belize
Sub-Saharan Africa,Western Sub-Saharan Africa,Benin,Benin,Benin,Sub-Saharan Africa,Low SDI,LIC,BEN,204,Benin
Latin America and Caribbean,Caribbean,Bermuda,Bermuda,NA,NA,High-middle SDI,HIC,BMU,60,Bermuda
South Asia,South Asia,Bhutan,Bhutan,Bhutan,South Asia,Low-middle SDI,LMIC,BTN,64,Bhutan
Latin America and Caribbean,Andean Latin America,Bolivia,Bolivia,Bolivia (Plurinational State of),Latin America and Caribbean,Low-middle SDI,LMIC,BOL,68,Bolivia (Plurinational State of)
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Central and Eastern Europe,Middle SDI,UMIC,BIH,70,Bosnia and Herzegovina
Sub-Saharan Africa,Southern Sub-Saharan Africa,Botswana,Botswana,Botswana,Sub-Saharan Africa,Middle SDI,UMIC,BWA,72,Botswana
Latin America and Caribbean,Tropical Latin America,Brazil,Brazil,Brazil,Latin America and Caribbean,Middle SDI,UMIC,BRA,76,Brazil
High-income,High-income Asia Pacific,Brunei,Brunei Darussalam,Brunei Darussalam,East and South East Asia,High SDI,HIC,BRN,96,Brunei Darussalam
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bulgaria,Bulgaria,Bulgaria,Central and Eastern Europe,High-middle SDI,UMIC,BGR,100,Bulgaria
Sub-Saharan Africa,Western Sub-Saharan Africa,Burkina Faso,Burkina Faso,Burkina Faso,Sub-Saharan Africa,Low SDI,LIC,BFA,854,Burkina Faso
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Burundi,Burundi,Burundi,Sub-Saharan Africa,Low SDI,LIC,BDI,108,Burundi
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Cambodia,Cambodia,Cambodia,East and South East Asia,Low-middle SDI,LMIC,KHM,132,Cambodia
Sub-Saharan Africa,Western Sub-Saharan Africa,Cameroon,Cameroon,Cameroon,Sub-Saharan Africa,Low-middle SDI,LMIC,CMR,116,Cameroon
High-income,High-income North America,Canada,Canada,Canada,High-income Western countries,High SDI,HIC,CAN,120,Canada
Sub-Saharan Africa,Western Sub-Saharan Africa,Cape Verde,Cabo Verde,Cabo Verde,Sub-Saharan Africa,Low-middle SDI,LMIC,CPV,124,Cabo Verde
Sub-Saharan Africa,Central Sub-Saharan Africa,Central African Republic,Central African Republic,Central African Republic,Sub-Saharan Africa,Low SDI,LIC,CAF,140,Central African Republic
Sub-Saharan Africa,Western Sub-Saharan Africa,Chad,Chad,Chad,Sub-Saharan Africa,Low SDI,LIC,TCD,148,Chad
High-income,Southern Latin America,Chile,Chile,Chile,Latin America and Caribbean,High-middle SDI,HIC,CHL,152,Chile
"Southeast Asia, East Asia, and Oceania",East Asia,China,China,China,East and South East Asia,Middle SDI,UMIC,CHN,156,China
Latin America and Caribbean,Central Latin America,Colombia,Colombia,Colombia,Latin America and Caribbean,Middle SDI,UMIC,COL,170,Colombia
