Region,Risk,Outcome,Deaths1000,PAF
High SDI,Smoking,All causes,1407.7,0.149
High SDI,Smoking,Drug-susceptible tuberculosis,1,0.08
High SDI,Smoking,Multidrug-resistant tuberculosis without extensive drug resistanc,0,0.086
High SDI,Smoking,Extensively drug-resistant tuberculosis,0,0.092
High SDI,Smoking,Lower respiratory infections,65.8,0.179
High SDI,Smoking,Lip and oral cavity cancer,17.4,0.588
High SDI,Smoking,Nasopharynx cancer,4.2,0.588
High SDI,Smoking,Oesophageal cancer,39.4,0.556
High SDI,Smoking,Stomach cancer,22.4,0.139
High SDI,Smoking,Colon and rectum cancer,26.6,0.085
High SDI,Smoking,Liver cancer due to hepatitis B,5.4,0.197
High SDI,Smoking,Liver cancer due to hepatitis C,10.8,0.183
High SDI,Smoking,Liver cancer due to alcohol use,6.5,0.235
High SDI,Smoking,Liver cancer due to other causes,5.1,0.23
High SDI,Smoking,Pancreatic cancer,40.8,0.237
High SDI,Smoking,Larynx cancer,14.1,0.802
High SDI,Smoking,"Tracheal, bronchus, and lung cancer",457.9,0.799
High SDI,Smoking,Breast cancer,11.2,0.068
High SDI,Smoking,Cervical cancer,3.4,0.126
High SDI,Smoking,Prostate cancer,9.3,0.065
High SDI,Smoking,Kidney cancer,13,0.21
High SDI,Smoking,Bladder cancer,26.8,0.356
High SDI,Smoking,Acute lymphoid leukaemia,0.7,0.105
High SDI,Smoking,Chronic lymphoid leukaemia,2.9,0.157
High SDI,Smoking,Acute myeloid leukaemia,5,0.133
High SDI,Smoking,Chronic myeloid leukaemia,1,0.139
High SDI,Smoking,Other leukaemia,3.5,0.137
High SDI,Smoking,Ischaemic heart disease,159.3,0.092
High SDI,Smoking,Ischaemic stroke,29.5,0.069
High SDI,Smoking,Hemorrhagic stroke,34.6,0.119
High SDI,Smoking,Hypertensive heart disease,10.2,0.073
High SDI,Smoking,Atrial fibrillation and flutter,4.5,0.045
High SDI,Smoking,Aortic aneurysm,7.3,0.098
High SDI,Smoking,Peripheral vascular disease,2.2,0.064
High SDI,Smoking,Other cardiovascular and circulatory diseases,13.5,0.078
High SDI,Smoking,Chronic obstructive pulmonary disease,316.3,0.748
