SDI,Country,IN REPORTED CURRENCY,CURRENCY REPORTED,INTERNATIONAL DOLLARS (PPP),IN US$ AT OFFICIAL EXCHANGE RATES,SPECIFIC EXCISE,AD VALOREM EXCISE,VALUE ADDED TAX/SALES TAX,IMPORT DUTIES,OTHER TAXES,TOTAL TAX +,Current Tax (USD),Base price (USD),Additional excise tax (USD),New total tax (USD),New total price (USD),Tax (%),Price increase (%),Tobacco reduction (%),
Low SDI,Afghanistan,   30.00,AFN,1.50,0.44,0.00%,0.00%,0.00%,2.30%,0.00%,2.30%,0.01012,0.43,1.27952,1.28964,1.72,0.75,291%,100%,
Middle SDI,Albania,   230.00,ALL,5.23,1.88,47.83%,0.00%,16.67%,1.81%,0.00%,66.31%,1.246628,0.63,0.653488,1.900116,2.53,0.75,35%,17%,
Middle SDI,Algeria,   135.00,DZD,4.62,1.22,24.01%,5.69%,13.35%,0.00%,0.00%,43.06%,0.525332,0.69,1.558672,2.084004,2.78,0.75,128%,61%,
Middle SDI,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
High SDI,Andorra,   3.50,EUR,NA,3.89,69.64%,0.00%,4.31%,0.00%,0.00%,73.94%,2.876266,1.01,0.164936,3.041202,4.05,0.75,4%,2%,
Low SDI,Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
High-middle SDI,Antigua and Barbuda,   8.00,XCD,4.94,2.96,0.00%,0.00%,13.04%,0.00%,2.43%,15.47%,0.457912,2.50,7.048352,7.506264,10.01,0.75,238%,100%,
High-middle SDI,Argentina,   40.00,ARS,4.35,2.67,0.00%,76.10%,4.15%,0.00%,0.00%,80.25%,2.142675,0.53,0,2.142675,2.67,0.8025,0%,0%,
High-middle SDI,Armenia,   600.00,AMD,3.06,1.26,18.33%,0.00%,16.67%,0.00%,0.00%,35.00%,0.441,0.82,2.016,2.457,3.28,0.75,160%,77%,
High SDI,Australia,   21.00,AUD,14.86,15.80,51.17%,0.00%,9.09%,0.00%,0.00%,60.27%,9.52266,6.28,9.30936,18.83202,25.11,0.75,59%,28%,
High SDI,Austria,   5.00,EUR,6.00,5.56,20.00%,39.00%,16.67%,0.00%,0.00%,75.67%,4.207252,1.35,0,4.207252,5.56,0.7567,0%,0%,
High-middle SDI,Azerbaijan,   2.80,AZN,8.51,1.77,2.86%,0.00%,15.25%,0.00%,0.00%,18.11%,0.320547,1.45,4.027812,4.348359,5.80,0.75,228%,100%,
High-middle SDI,The Bahamas,   8.95,BSD,8.97,8.95,33.52%,0.00%,6.98%,0.00%,0.00%,40.50%,3.62475,5.33,12.351,15.97575,21.30,0.75,138%,66%,
Middle SDI,Bahrain,   1.50,BHD,8.33,3.99,13.33%,0.00%,0.00%,13.33%,0.00%,26.67%,1.064133,2.93,7.713468,8.777601,11.70,0.75,193%,93%,
Low-middle SDI,Bangladesh,   100.00,BDT,3.39,1.28,0.00%,62.00%,15.00%,0.00%,0.00%,77.00%,0.9856,0.29,0,0.9856,1.28,0.77,0%,0%,
High-middle SDI,Barbados,   15.00,BBD,8.06,7.50,25.07%,0.00%,14.89%,0.00%,0.00%,39.96%,2.997,4.50,10.512,13.509,18.01,0.75,140%,67%,
High-middle SDI,Belarus,  9 600.00,BYR,1.66,0.48,31.88%,0.00%,16.67%,0.00%,0.00%,48.54%,0.232992,0.25,0.508032,0.741024,0.99,0.75,106%,51%,
High SDI,Belgium,   6.32,EUR,7.63,7.02,12.51%,45.84%,17.36%,0.00%,0.00%,75.71%,5.314842,1.71,0,5.314842,7.02,0.7571,0%,0%,
Low-middle SDI,Belize,   5.00,BZD,4.36,2.50,26.00%,0.00%,11.11%,0.00%,0.00%,37.11%,0.92775,1.57,3.789,4.71675,6.29,0.75,152%,73%,
Low SDI,Benin,   500.00,XOF,2.31,0.85,0.00%,3.95%,1.78%,0.00%,0.69%,6.42%,0.05457,0.80,2.33172,2.38629,3.18,0.75,274%,100%,
High-middle SDI,Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Low-middle SDI,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Low-middle SDI,Bolivia,   11.00,BOB,3.52,1.59,0.00%,27.85%,11.50%,0.00%,0.00%,39.36%,0.625824,0.96,2.266704,2.892528,3.86,0.75,143%,68%,
Middle SDI,Bosnia and Herzegovina,   4.50,BAM,6.61,2.56,26.67%,42.00%,14.53%,1.06%,0.00%,84.25%,2.1568,0.40,0,2.1568,2.56,0.8425,0%,0%,
